dataset,fold,rank,model,mean_spearman
RSNA,fold_0,1,densenet121,0.4360444350489424
RSNA,fold_0,2,cbm_nonleaky,0.4064559597230888
RSNA,fold_0,3,cbm_leaky,0.4045250171889035
RSNA,fold_0,4,resnet50,0.3844817423533079
RSNA,fold_0,5,convnext_blackbox,0.3169194786992972
RSNA,fold_0,6,efficientnet_b4,0.2370386424327445
RSNA,fold_0,7,vit_small,0.2313320343065843
RSNA,fold_1,1,resnet50,0.4007008252413456
RSNA,fold_1,2,densenet121,0.3945977582102571
RSNA,fold_1,3,cbm_nonleaky,0.3538051254473697
RSNA,fold_1,4,cbm_leaky,0.2374074758066691
RSNA,fold_1,5,convnext_blackbox,0.2318521622514333
RSNA,fold_1,6,efficientnet_b4,0.2138073072592067
RSNA,fold_1,7,vit_small,0.2119426771229293
RSNA,fold_2,1,densenet121,0.4430380086185655
RSNA,fold_2,2,cbm_nonleaky,0.4216921166399599
RSNA,fold_2,3,resnet50,0.4137423348962249
RSNA,fold_2,4,cbm_leaky,0.3768448274152717
RSNA,fold_2,5,convnext_blackbox,0.2928887985699397
RSNA,fold_2,6,efficientnet_b4,0.2072405976330402
RSNA,fold_2,7,vit_small,0.1719743097690964
RSNA,fold_3,1,densenet121,0.4566560070213865
RSNA,fold_3,2,resnet50,0.4458548405445646
RSNA,fold_3,3,cbm_nonleaky,0.3742166124373182
RSNA,fold_3,4,cbm_leaky,0.3697859861041179
RSNA,fold_3,5,convnext_blackbox,0.252186410360915
RSNA,fold_3,6,efficientnet_b4,0.2366945592480748
RSNA,fold_3,7,vit_small,0.1679222429317395
RSNA,fold_4,1,densenet121,0.439525307277659
RSNA,fold_4,2,resnet50,0.4136174609905151
RSNA,fold_4,3,cbm_leaky,0.347075240856549
RSNA,fold_4,4,cbm_nonleaky,0.3430396163617831
RSNA,fold_4,5,convnext_blackbox,0.3193911880926685
RSNA,fold_4,6,efficientnet_b4,0.2213091232113692
RSNA,fold_4,7,vit_small,0.2146634297485969
CUB,fold_0,1,densenet121,0.5148219511525882
CUB,fold_0,2,resnet50,0.4177830944080121
CUB,fold_0,3,efficientnet_b4,0.4123646401716622
CUB,fold_0,4,vit_small,0.2799612669829724
CUB,fold_1,1,densenet121,0.494683989350373
CUB,fold_1,2,resnet50,0.4190568569458103
CUB,fold_1,3,efficientnet_b4,0.4075256566310797
CUB,fold_1,4,vit_small,0.2900111296843959
CUB,fold_2,1,densenet121,0.5305232664984288
CUB,fold_2,2,resnet50,0.435088444961238
CUB,fold_2,3,efficientnet_b4,0.4165625566863661
CUB,fold_2,4,vit_small,0.2831453351807925
CUB,fold_3,1,densenet121,0.5387896804090734
CUB,fold_3,2,resnet50,0.4324450959684316
CUB,fold_3,3,efficientnet_b4,0.4165643468995104
CUB,fold_3,4,vit_small,0.2801005093661646
CUB,fold_4,1,densenet121,0.5101618620010359
CUB,fold_4,2,resnet50,0.4454137384132838
CUB,fold_4,3,efficientnet_b4,0.4046434564112806
CUB,fold_4,4,vit_small,0.2821995139249866
