fold,model,sample_id,best_fixed_method,fw_consensus_insertion_auc,best_fixed_method_insertion_auc,oracle_best_insertion_auc,fw_minus_best_fixed_method,fw_minus_oracle_best,uniform_consensus_insertion_auc,fw_minus_uniform
fold_0,cbm_leaky,4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,0.9966962054371832,0.9968323931097984,0.9968323931097984,-0.0001361876726152511,-0.0001361876726152511,,
fold_0,cbm_leaky,4003253_1054713880_11_left_neural_foraminal_narrowing_l1_l2,occlusion,0.980386669933796,0.9802900537848472,0.9812533423304558,9.661614894873605e-05,-0.0008666723966598289,,
fold_0,cbm_leaky,4003253_2448190387_19_right_subarticular_stenosis_l3_l4,occlusion,0.7638448961079121,0.761847273260355,0.7638874508440494,0.0019976228475571123,-4.255473613734573e-05,,
fold_0,cbm_leaky,4646740_3201256954_29_left_subarticular_stenosis_l3_l4,occlusion,0.6726202547550202,0.5584016919136047,0.7345223307609557,0.11421856284141552,-0.06190207600593556,,
fold_0,cbm_leaky,4646740_3486248476_15_right_neural_foraminal_narrowing_l2_l3,occlusion,0.6527404814958573,0.6454215615987776,0.6924745827913285,0.007318919897079668,-0.03973410129547117,,
fold_0,cbm_leaky,7143189_132939515_9_spinal_canal_stenosis_l1_l2,occlusion,0.9758318215608596,0.982985493540764,0.982985493540764,-0.0071536719799044635,-0.0071536719799044635,,
fold_0,cbm_leaky,7143189_1951927562_11_right_subarticular_stenosis_l3_l4,occlusion,0.7370724353997503,0.7466910608112812,0.7830824084579945,-0.009618625411530912,-0.04600997305824417,,
fold_0,cbm_leaky,7143189_3219733239_12_left_neural_foraminal_narrowing_l1_l2,occlusion,0.9706960827112198,0.9458988934755326,0.9705094873905182,0.02479718923568719,0.0001865953207015325,,
fold_0,cbm_leaky,10728036_2073726394_11_right_subarticular_stenosis_l1_l2,occlusion,0.9204458981752396,0.9391693979501724,0.9391693979501724,-0.018723499774932817,-0.018723499774932817,,
fold_0,cbm_leaky,10728036_2399638375_14_left_neural_foraminal_narrowing_l1_l2,occlusion,0.97921641767025,0.9794782370328904,0.9800293058156968,-0.00026181936264035865,-0.0008128881454467773,,
fold_0,cbm_leaky,13317052_1539051863_4_right_neural_foraminal_narrowing_l5_s1,occlusion,0.6218563959002495,0.608870778977871,0.608870778977871,0.01298561692237854,0.01298561692237854,,
fold_0,cbm_leaky,13317052_2500166693_3_left_subarticular_stenosis_l1_l2,occlusion,0.9861567273736,0.9838325962424278,0.9866842404007912,0.002324131131172247,-0.0005275130271911177,,
fold_0,cbm_leaky,13317052_2677627096_8_spinal_canal_stenosis_l5_s1,occlusion,0.9771923765540124,0.9774772956967354,0.9779518380761144,-0.0002849191427229947,-0.0007594615221020451,,
fold_0,cbm_leaky,29931867_1152175603_8_right_neural_foraminal_narrowing_l1_l2,occlusion,0.9836292251944544,0.9854687109589576,0.9854687109589576,-0.0018394857645032126,-0.0018394857645032126,,
fold_0,cbm_leaky,29931867_1676821058_11_spinal_canal_stenosis_l5_s1,occlusion,0.9707295268774032,0.9721605718135832,0.9721605718135832,-0.0014310449361799593,-0.0014310449361799593,,
fold_0,cbm_leaky,58813022_302608236_15_left_subarticular_stenosis_l5_s1,occlusion,0.4525962226092815,0.586326453089714,0.6207847729325293,-0.13373023048043248,-0.1681885503232478,,
fold_0,cbm_leaky,58813022_692718517_6_left_neural_foraminal_narrowing_l2_l3,occlusion,0.4988414540886879,0.4365768004208803,0.4913462549448013,0.06226465366780759,0.007495199143886633,,
fold_0,cbm_leaky,58813022_3875372861_9_spinal_canal_stenosis_l1_l2,occlusion,0.9682739868760109,0.9716255351901056,0.9716255351901056,-0.0033515483140947877,-0.0033515483140947877,,
fold_0,cbm_leaky,60612428_661972121_10_left_neural_foraminal_narrowing_l1_l2,occlusion,0.976577973365784,0.977965697646141,0.977965697646141,-0.00138772428035705,-0.00138772428035705,,
fold_0,cbm_leaky,60612428_3446457669_3_left_subarticular_stenosis_l1_l2,occlusion,0.9872969508171084,0.9869293719530104,0.9875576317310334,0.0003675788640979949,-0.00026068091392494885,,
fold_0,cbm_leaky,63725508_1069611138_5_right_subarticular_stenosis_l3_l4,occlusion,0.5048522727214731,0.4438870780169964,0.5668647654354572,0.060965194704476755,-0.06201249271398401,,
fold_0,cbm_leaky,63725508_1547488253_6_right_neural_foraminal_narrowing_l4_l5,occlusion,0.7725450351834297,0.7567132011055946,0.7567132011055946,0.01583183407783506,0.01583183407783506,,
fold_0,cbm_leaky,63725508_2144061947_11_spinal_canal_stenosis_l1_l2,occlusion,0.5163068795576692,0.4513205343857407,0.5109539920464158,0.06498634517192847,0.005352887511253401,,
fold_0,cbm_leaky,69086098_475539618_21_right_subarticular_stenosis_l3_l4,occlusion,0.5569348413497209,0.5048053555190564,0.6148237369954586,0.05212948583066457,-0.057888895645737626,,
fold_0,cbm_leaky,69086098_2449982462_4_right_neural_foraminal_narrowing_l4_l5,occlusion,0.7248607598245144,0.7036139480769634,0.7074503831565379,0.021246811747550942,0.017410376667976513,,
fold_0,cbm_leaky,82066307_716781115_2_right_subarticular_stenosis_l1_l2,occlusion,0.981339058279991,0.9813131004571914,0.9814083933830262,2.5957822799571595e-05,-6.933510303519519e-05,,
