model,fold,method,deletion_auc,insertion_auc,source
cbm_leaky,fold_0,gradcam,0.6277212358734056,0.7768101464544985,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_0,gradcam++,0.652801386566595,0.7533704414659805,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_0,gradient_shap,0.5799947894984555,0.7547957216775054,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_0,guided_backprop,0.5840205466048355,0.721262228390653,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_0,integrated_gradients,0.5806259210814799,0.7545665399158267,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_0,occlusion,0.5914528299732095,0.7840531947914327,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_leaky\faithfulness_metrics.csv
cbm_nonleaky,fold_0,gradcam,0.7252664013072057,0.8142370558961247,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_0,gradcam++,0.7408849666408588,0.8053272631897641,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_0,gradient_shap,0.6786226334348079,0.8196765183278507,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_0,guided_backprop,0.6891541284310582,0.7980103950710502,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_0,integrated_gradients,0.6769427380816011,0.8195038331798526,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_0,occlusion,0.7248509680831298,0.8253889263784397,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\cbm_nonleaky\faithfulness_metrics.csv
convnext_blackbox,fold_0,gradcam,0.7186430906633637,0.7044052040574437,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_0,gradcam++,0.6582566208513381,0.7740926751513834,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_0,gradient_shap,0.5809674599159552,0.7891480870543964,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_0,guided_backprop,0.5637947417779966,0.7559166385462183,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_0,integrated_gradients,0.579138354665088,0.7854992657376594,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\convnext_blackbox\faithfulness_metrics.csv
convnext_blackbox,fold_0,occlusion,0.5878108101626979,0.8161816715715128,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\convnext_blackbox\faithfulness_metrics.csv
deit_small,fold_0,attention_rollout,0.5730044391428237,0.7760642224745049,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
deit_small,fold_0,gradcam,0.618182294565253,0.6743403643323884,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
deit_small,fold_0,gradcam++,0.6287850957654882,0.6824303941829906,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
deit_small,fold_0,gradient_shap,0.5218452332780386,0.7409251787786683,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
deit_small,fold_0,guided_backprop,0.534468866311945,0.7183588116926451,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
deit_small,fold_0,integrated_gradients,0.5218472105317438,0.7371227684877812,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
deit_small,fold_0,occlusion,0.5581198051829511,0.7727747985425716,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\deit_small\faithfulness_metrics.csv
densenet121,fold_0,gradcam,0.5385850665847344,0.7859252596314182,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\densenet121\faithfulness_metrics.csv
densenet121,fold_0,gradcam++,0.560969275179843,0.7638439821363232,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\densenet121\faithfulness_metrics.csv
densenet121,fold_0,gradient_shap,0.5515559307749499,0.7684260850312615,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\densenet121\faithfulness_metrics.csv
densenet121,fold_0,guided_backprop,0.5468210619996728,0.7623658890609125,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\densenet121\faithfulness_metrics.csv
densenet121,fold_0,integrated_gradients,0.5485086092088022,0.758530800439398,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\densenet121\faithfulness_metrics.csv
densenet121,fold_0,occlusion,0.564449920955347,0.7555260927387475,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\densenet121\faithfulness_metrics.csv
efficientnet_b4,fold_0,gradcam,0.49091773604132566,0.729582806698978,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_0,gradcam++,0.5115441520180902,0.7173493098532782,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_0,gradient_shap,0.47034592418498744,0.5400700426798624,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_0,guided_backprop,0.4696574653090599,0.4554477234361693,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_0,integrated_gradients,0.45885237157385567,0.4897372336599316,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_0,occlusion,0.5007715252712369,0.6821311516140898,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\efficientnet_b4\faithfulness_metrics.csv
resnet50,fold_0,gradcam,0.5292743609983784,0.7384429875188506,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\resnet50\faithfulness_metrics.csv
resnet50,fold_0,gradcam++,0.5381520124818004,0.7375908016255514,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\resnet50\faithfulness_metrics.csv
resnet50,fold_0,gradient_shap,0.5712905798881548,0.7545343650520032,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\resnet50\faithfulness_metrics.csv
resnet50,fold_0,guided_backprop,0.561854118402116,0.7490412078451482,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\resnet50\faithfulness_metrics.csv
resnet50,fold_0,integrated_gradients,0.5746720812353693,0.7434354466492853,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\resnet50\faithfulness_metrics.csv
resnet50,fold_0,occlusion,0.5770705477001611,0.6871722860687102,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\resnet50\faithfulness_metrics.csv
vit_small,fold_0,gradcam,0.6016605045590065,0.6724251475229976,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,gradcam++,0.6101863178014173,0.6771334218800475,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,gradient_shap,0.4269076148230233,0.7597484842248474,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,guided_backprop,0.4687111718062273,0.7511786503944508,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,integrated_gradients,0.42682285012274707,0.7595068747797243,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,occlusion,0.4924322371895735,0.7929372221715942,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
cbm_leaky,fold_1,gradcam,0.6600827252693513,0.7349352730856432,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,gradcam++,0.7141680948895712,0.6958818184140643,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,gradient_shap,0.39987878533054994,0.7707685957115803,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
