model,method,deletion_auc_mean,deletion_auc_std,insertion_auc_mean,insertion_auc_std
cbm_leaky,gradcam,0.636,0.0417,0.7639,0.0287
cbm_leaky,gradcam++,0.6535,0.0482,0.7624,0.0464
cbm_leaky,gradient_shap,0.492,0.0717,0.7776,0.0255
cbm_leaky,guided_backprop,0.5129,0.0689,0.7259,0.0083
cbm_leaky,integrated_gradients,0.4929,0.0724,0.7773,0.0257
cbm_leaky,occlusion,0.5398,0.0617,0.8066,0.0252
cbm_nonleaky,gradcam,0.5866,0.0875,0.7618,0.0394
cbm_nonleaky,gradcam++,0.5788,0.1029,0.7767,0.0337
cbm_nonleaky,gradient_shap,0.4467,0.1336,0.7887,0.0209
cbm_nonleaky,guided_backprop,0.4821,0.118,0.7534,0.0278
cbm_nonleaky,integrated_gradients,0.4452,0.1338,0.7883,0.0214
cbm_nonleaky,occlusion,0.5097,0.1264,0.8153,0.0148
convnext_blackbox,gradcam,0.6746,0.0673,0.693,0.056
convnext_blackbox,gradcam++,0.6309,0.0779,0.7369,0.0443
convnext_blackbox,gradient_shap,0.4989,0.0913,0.783,0.0413
convnext_blackbox,guided_backprop,0.5115,0.0707,0.7559,0.0516
convnext_blackbox,integrated_gradients,0.4974,0.0905,0.7813,0.0414
convnext_blackbox,occlusion,0.5334,0.078,0.8114,0.0281
deit_small,attention_rollout,0.5611,0.0586,0.7597,0.0185
deit_small,gradcam,0.6421,0.0366,0.6588,0.0393
deit_small,gradcam++,0.6405,0.0321,0.6705,0.0327
deit_small,gradient_shap,0.5333,0.0447,0.7331,0.0209
deit_small,guided_backprop,0.5349,0.0439,0.7203,0.0211
deit_small,integrated_gradients,0.5351,0.0455,0.728,0.0193
deit_small,occlusion,0.5491,0.0645,0.7451,0.0307
densenet121,gradcam,0.4989,0.0412,0.7823,0.0424
densenet121,gradcam++,0.5192,0.0422,0.7686,0.0412
densenet121,gradient_shap,0.4963,0.0417,0.7628,0.0508
densenet121,guided_backprop,0.4918,0.0367,0.7539,0.0548
densenet121,integrated_gradients,0.4884,0.0409,0.7503,0.0497
densenet121,occlusion,0.4761,0.0568,0.7492,0.0419
efficientnet_b4,gradcam,0.4446,0.0561,0.7285,0.0368
efficientnet_b4,gradcam++,0.477,0.056,0.7165,0.0379
efficientnet_b4,gradient_shap,0.4618,0.0544,0.5372,0.0566
efficientnet_b4,guided_backprop,0.474,0.0507,0.4682,0.054
efficientnet_b4,integrated_gradients,0.4578,0.0507,0.4915,0.0549
efficientnet_b4,occlusion,0.482,0.0583,0.6689,0.0419
resnet50,gradcam,0.5648,0.1113,0.7432,0.0516
resnet50,gradcam++,0.5667,0.1104,0.7454,0.0489
resnet50,gradient_shap,0.5693,0.1062,0.7378,0.06
resnet50,guided_backprop,0.5592,0.0921,0.7283,0.0581
resnet50,integrated_gradients,0.5755,0.0994,0.728,0.0646
resnet50,occlusion,0.5608,0.0916,0.6775,0.0615
vit_small,attention_rollout,0.5487,0.0591,0.7582,0.0138
vit_small,gradcam,0.6276,0.0295,0.668,0.0329
vit_small,gradcam++,0.6185,0.0307,0.6753,0.0186
vit_small,gradient_shap,0.4685,0.0464,0.7351,0.0147
vit_small,guided_backprop,0.4884,0.0433,0.7348,0.0095
vit_small,integrated_gradients,0.4688,0.0459,0.7338,0.0151
vit_small,occlusion,0.4938,0.0383,0.7734,0.0178
