model,fold,weighted_log_loss,balanced_accuracy,macro_f1,ordinal_mae,skip_error_rate,accuracy,auc_ovr,condition_left_neural_foraminal_narrowing_weighted_log_loss,condition_left_neural_foraminal_narrowing_balanced_accuracy,condition_left_neural_foraminal_narrowing_macro_f1,condition_left_neural_foraminal_narrowing_ordinal_mae,condition_left_neural_foraminal_narrowing_skip_error_rate,condition_left_neural_foraminal_narrowing_accuracy,condition_left_neural_foraminal_narrowing_auc_ovr,condition_left_subarticular_stenosis_weighted_log_loss,condition_left_subarticular_stenosis_balanced_accuracy,condition_left_subarticular_stenosis_macro_f1,condition_left_subarticular_stenosis_ordinal_mae,condition_left_subarticular_stenosis_skip_error_rate,condition_left_subarticular_stenosis_accuracy,condition_left_subarticular_stenosis_auc_ovr,condition_right_neural_foraminal_narrowing_weighted_log_loss,condition_right_neural_foraminal_narrowing_balanced_accuracy,condition_right_neural_foraminal_narrowing_macro_f1,condition_right_neural_foraminal_narrowing_ordinal_mae,condition_right_neural_foraminal_narrowing_skip_error_rate,condition_right_neural_foraminal_narrowing_accuracy,condition_right_neural_foraminal_narrowing_auc_ovr,condition_right_subarticular_stenosis_weighted_log_loss,condition_right_subarticular_stenosis_balanced_accuracy,condition_right_subarticular_stenosis_macro_f1,condition_right_subarticular_stenosis_ordinal_mae,condition_right_subarticular_stenosis_skip_error_rate,condition_right_subarticular_stenosis_accuracy,condition_right_subarticular_stenosis_auc_ovr,condition_spinal_canal_stenosis_weighted_log_loss,condition_spinal_canal_stenosis_balanced_accuracy,condition_spinal_canal_stenosis_macro_f1,condition_spinal_canal_stenosis_ordinal_mae,condition_spinal_canal_stenosis_skip_error_rate,condition_spinal_canal_stenosis_accuracy,condition_spinal_canal_stenosis_auc_ovr,level_l1_l2_weighted_log_loss,level_l1_l2_balanced_accuracy,level_l1_l2_macro_f1,level_l1_l2_ordinal_mae,level_l1_l2_skip_error_rate,level_l1_l2_accuracy,level_l1_l2_auc_ovr,level_l2_l3_weighted_log_loss,level_l2_l3_balanced_accuracy,level_l2_l3_macro_f1,level_l2_l3_ordinal_mae,level_l2_l3_skip_error_rate,level_l2_l3_accuracy,level_l2_l3_auc_ovr,level_l3_l4_weighted_log_loss,level_l3_l4_balanced_accuracy,level_l3_l4_macro_f1,level_l3_l4_ordinal_mae,level_l3_l4_skip_error_rate,level_l3_l4_accuracy,level_l3_l4_auc_ovr,level_l4_l5_weighted_log_loss,level_l4_l5_balanced_accuracy,level_l4_l5_macro_f1,level_l4_l5_ordinal_mae,level_l4_l5_skip_error_rate,level_l4_l5_accuracy,level_l4_l5_auc_ovr,level_l5_s1_weighted_log_loss,level_l5_s1_balanced_accuracy,level_l5_s1_macro_f1,level_l5_s1_ordinal_mae,level_l5_s1_skip_error_rate,level_l5_s1_accuracy,level_l5_s1_auc_ovr
cbm_leaky,fold_0,0.5066505486739168,0.7319229603804726,0.6953740398956859,0.18195924278473155,0.005586014275369815,0.8236267714906382,0.9179363611498544,0.5372346738368485,0.7004545868936424,0.6549779029704693,0.21278772378516625,0.0020460358056265983,0.7892583120204604,0.9095901351225514,0.5471201347564938,0.7480215909610722,0.7144907267580431,0.194750656167979,0.008398950131233596,0.8136482939632546,0.9128941620912222,0.478495425011463,0.7526508127640613,0.7023689603923163,0.1867007672634271,0.001534526854219949,0.8148337595907928,0.9147531797090936,0.6253642026378174,0.6891363712963813,0.6794165237721487,0.22280334728033474,0.00889121338912134,0.7860878661087866,0.8949898021042081,0.31349234164743256,0.743518416345343,0.6930556326809145,0.09329896907216495,0.007216494845360825,0.9139175257731958,0.9561814938708166,0.2239703682352317,0.5929714144910315,0.6052798373594834,0.042993630573248405,0.0031847133757961785,0.9601910828025477,0.9650956624563453,0.380136162381321,0.6794571677360995,0.6761062038241211,0.099113197704747,0.005738132498695879,0.9066249347939489,0.948964884274563,0.5195699198922008,0.7429272319187743,0.7120872525435855,0.19120654396728015,0.002556237218813906,0.8113496932515337,0.9092336201553852,0.6656776446978034,0.7076862344303434,0.6738520410173954,0.3168114460909555,0.008686765457332652,0.6918753193663771,0.8680284234028065,0.6172683155990992,0.6938655298801234,0.6536498356202108,0.2529441884280594,0.007680491551459293,0.7547363031233999,0.8805542757916053
cbm_leaky,fold_1,0.5124788707687298,0.7382522233053838,0.6972697220296721,0.1856613865459782,0.005862991154083522,0.8202016046081053,0.9167123487423585,0.5041684313584547,0.7278665301245947,0.6942912550130096,0.18838383838383838,0.0025252525252525255,0.8141414141414142,0.918840427463033,0.5799910964114741,0.7223250781978298,0.6890350195936058,0.23406478578892373,0.005747126436781609,0.7716823406478579,0.9067208199663682,0.4984278565761361,0.744977032013308,0.714414591544306,0.17866258295048495,0.0030627871362940277,0.8244002041858091,0.9071790963740333,0.6235605080000856,0.7145698323562177,0.670713087279431,0.2304075235109718,0.012016718913270637,0.7816091954022989,0.8909086568801943,0.32608158592260333,0.7418670881133532,0.6948420210312816,0.09872122762148337,0.006138107416879796,0.9074168797953964,0.9572281261035974,0.1762501343997004,0.617480546828373,0.5871115322403117,0.049014384656366546,0.002663825253063399,0.9536494405966969,0.9724851531118176,0.377346419051842,0.6976323541524344,0.6698553358470681,0.11203319502074689,0.0031120331950207467,0.8910788381742739,0.9342704252011883,0.5669450933471022,0.7019800160713241,0.6814866831517085,0.20860759493670886,0.002531645569620253,0.7939240506329114,0.9035450742680543,0.6603435022234261,0.7223845455765843,0.6844814167046933,0.30730223123732253,0.011663286004056795,0.7043610547667343,0.8687644135300837,0.6316652365221697,0.7061718439647985,0.6701128593749838,0.2431472081218274,0.009137055837563452,0.7659898477157361,0.8729834667385686
cbm_leaky,fold_2,0.5332103920672318,0.728417893965275,0.6748528282772255,0.21717639789928947,0.006693440428380187,0.7895170425290907,0.9129487313002067,0.5569499871378505,0.6989432222424669,0.6431068104287297,0.25316455696202533,0.004556962025316456,0.7513924050632912,0.9033545774071813,0.5654202735750593,0.73210111495955,0.6970129210534516,0.22722513089005236,0.007853403141361256,0.7806282722513089,0.9070990917354719,0.5750091004080476,0.7132125215970716,0.6390906482668014,0.23604060913705585,0.005076142131979695,0.7690355329949239,0.8972960556737214,0.574484271537972,0.7083953578080834,0.6734902376736501,0.23717277486910995,0.005759162303664921,0.768586387434555,0.8989564718796602,0.3752866234702323,0.740721442081584,0.6703400655061875,0.13206577595066804,0.010277492291880781,0.8782117163412128,0.9522055912172521,0.2134257599681245,0.6399704555002913,0.6126828360711419,0.05528973950026582,0.001063264221158958,0.9457735247208932,0.9637096071925618,0.3767795735522687,0.683064415174365,0.6367264176026568,0.1289144050104384,0.0036534446764091857,0.8747390396659708,0.9414244778963042,0.5358473902908321,0.7472712266584133,0.7030711008985703,0.22453117080587937,0.0005068423720223011,0.7759756715661429,0.9079664199313507,0.674326466192487,0.6914832501513432,0.6508923765416187,0.36289913836796756,0.013684744044602128,0.6507856056766346,0.8629617470125036,0.7154092081211261,0.6469580391851931,0.596631454474957,0.304369918699187,0.014227642276422764,0.7098577235772358,0.85726248097532
cbm_nonleaky,fold_0,0.5256716245414077,0.6899964685240842,0.6938746931248411,0.15578773145753594,0.005275680148960381,0.8494879486914244,0.9294614767468471,0.5438769998111501,0.6321294930340878,0.6500968210006141,0.16163682864450127,0.004092071611253197,0.8424552429667519,0.9214729710671795,0.5610035804064812,0.7106722564542842,0.7051231278069623,0.17795275590551182,0.007349081364829396,0.8293963254593176,0.9278325389894536,0.5299611204780597,0.6673531567930843,0.6790262929740566,0.14731457800511508,0.0020460358056265983,0.8547314578005115,0.9229929596653544,0.6211561313153373,0.6920720731072096,0.6884843096306406,0.2055439330543933,0.00993723849372385,0.8043933054393305,0.9097394143798128,0.3450162849044848,0.6858253109999293,0.6920612111557833,0.08762886597938144,0.003092783505154639,0.9154639175257732,0.9605690411942295,0.20773160784216144,0.6200285383001605,0.6385474207572334,0.040339702760084924,0.0021231422505307855,0.9617834394904459,0.9741243277172945,0.3783739796434992,0.6361519017305368,0.6603720315105513,0.09337506520605113,0.0026082420448617634,0.9092331768388107,0.9532589996204998,0.5734146301848358,0.6689038016846175,0.6866171896667855,0.1738241308793456,0.003067484662576687,0.8292433537832311,0.9162790560987298,0.6803879666697631,0.7034634620827784,0.701038973467429,0.25958099131323453,0.009197751660705161,0.7496167603474706,0.8889400810698183,0.6509397889401635,0.6592620852262965,0.656573480973898,0.20634920634920634,0.009216589861751152,0.8028673835125448,0.8887360407811303
cbm_nonleaky,fold_1,0.5489855345645449,0.7397545692140234,0.6650780601422087,0.2272166220942193,0.0061715696358773916,0.7789549475416581,0.9082463837882312,0.6107158612894475,0.7339332650622973,0.6209579367992882,0.27474747474747474,0.00404040404040404,0.7292929292929293,0.8971021916686958,0.5598034024988611,0.7265119627300388,0.6848502294652717,0.2330198537095089,0.00522466039707419,0.7722048066875653,0.9078683846350359,0.5823913718491772,0.7354834847219552,0.651913003406511,0.2521694742215416,0.0015313935681470138,0.7493619193466055,0.8932939124432228,0.6017819299130811,0.7288502921525514,0.6699517427222919,0.2502612330198537,0.0073145245559038665,0.7570532915360502,0.8933573876319413,0.3720446676183006,0.7282156033787818,0.6438128958558424,0.12583120204603582,0.01278772378516624,0.8869565217391304,0.9453209585745047,0.16965887252919717,0.716408792495749,0.665925072422909,0.05114544485881726,0.0010655301012253596,0.9499200852424081,0.9675021792512788,0.39576951677610217,0.6996870109546166,0.6576996891905863,0.13018672199170125,0.0025933609958506223,0.8724066390041494,0.9308151216293616,0.6001661088701467,0.7111302666214087,0.6656451574025648,0.2521518987341772,0.002531645569620253,0.7503797468354431,0.8940703616783395,0.7619411936737521,0.6796928773772059,0.6053344239567994,0.4066937119675456,0.019269776876267748,0.6125760649087221,0.843621835631256,0.6387753432245541,0.6946931119517422,0.6414303820843407,0.28527918781725886,0.005076142131979695,0.7197969543147208,0.873407569889811
cbm_nonleaky,fold_2,0.5482985132311807,0.7216560431845268,0.696014945809718,0.19050561219235917,0.004119040263618577,0.8136134280712594,0.9177473792750139,0.5967113055361675,0.6432330084336867,0.6406914962964979,0.20151898734177215,0.0020253164556962027,0.800506329113924,0.9080916646812228,0.6068589992043865,0.7228557541044692,0.6953017255439077,0.22198952879581152,0.007853403141361256,0.7858638743455497,0.9046154541141848,0.5822220842142537,0.642608190441866,0.6289244663382594,0.20812182741116753,0.0005076142131979696,0.7923857868020304,0.9109467341213504,0.5634247021815981,0.7323671680564049,0.7068671865882203,0.22251308900523561,0.0031413612565445027,0.7806282722513089,0.9073479962133787,0.37144036113187384,0.7458147564593455,0.7136644608342722,0.09917780061664953,0.007194244604316547,0.908016443987667,0.954359497654309,0.21531662450344005,0.695031419265363,0.6930161409902548,0.044657097288676235,0.002126528442317916,0.9574694311536417,0.9559021841846914,0.39134468734958444,0.7067671494615192,0.6667681426814268,0.12212943632567849,0.003131524008350731,0.8810020876826722,0.9409421645000728,0.5354127322782484,0.7526602036041838,0.7179437276067603,0.21338063862138876,0.0005068423720223011,0.7871262037506336,0.913379696154745,0.6742186516114254,0.7111587519913258,0.6958133188388081,0.30207805372529145,0.006082108464267613,0.7040040547389762,0.8778270681599721,0.775071348130451,0.6031212213511893,0.5881771140645303,0.2616869918699187,0.008638211382113821,0.7469512195121951,0.8603043752601103
convnext_blackbox,fold_0,0.49157511086257344,0.7372622208844236,0.7046188818482403,0.18226957691114098,0.0033102306817006312,0.8210406537705597,0.9309634530333417,0.5314445506393966,0.6596182561322957,0.6332580755520896,0.2112531969309463,0.0010230179028132991,0.789769820971867,0.9263854164931065,0.5312408024246915,0.7460420477842536,0.7241041960093222,0.1952755905511811,0.003674540682414698,0.8083989501312336,0.9251731666272253,0.4627473086494456,0.710969025291276,0.688866976385189,0.18056265984654732,0.0005115089514066496,0.8199488491048593,0.9352870596839898,0.5805367748338814,0.7297009529062107,0.70242703668697,0.22751046025104602,0.0036610878661087866,0.7761506276150628,0.9111076052923766,0.32601736676338694,0.7405607637788353,0.6873151286641023,0.09742268041237113,0.007731958762886598,0.9103092783505154,0.957353809251052,0.19061297210154013,0.6205404947943653,0.5839865981819665,0.058386411889596604,0.0021231422505307855,0.9437367303609342,0.9693564169991028,0.3480695564610345,0.7495447513251667,0.6954600896892705,0.11841418883672405,0.001564945226917058,0.883150756390193,0.9542903750189126,0.5150595534700129,0.7284618739766323,0.6890160646269567,0.22137014314928424,0.002556237218813906,0.7811860940695297,0.9214818585123773,0.6499359099307133,0.7314574793499453,0.7138100386480097,0.27133367399080227,0.005620848237097598,0.7342871742462953,0.8928270938203355,0.6201634185824493,0.6797973007754106,0.6624075169334503,0.23604710701484896,0.004608294930875576,0.7685611879160267,0.8962335703602567
convnext_blackbox,fold_1,0.5214163019932336,0.7469186756655463,0.6675521787324796,0.22989096893643282,0.008743056984159638,0.7788520880477268,0.9117382830040488,0.48450346481408485,0.7400196279228538,0.6974439100342447,0.18636363636363637,0.00202020202020202,0.8156565656565656,0.9256154376546583,0.6513692319762129,0.6987292320286954,0.6146626955513904,0.3542319749216301,0.009404388714733543,0.6551724137931034,0.880309651379518,0.47889733010965896,0.7429447374047063,0.7155094749716454,0.183256763654926,0.0035732516590096988,0.8203164880040837,0.9152902908695036,0.5966855797745012,0.7196158099303197,0.6394712513850672,0.28056426332288403,0.01567398119122257,0.7351097178683386,0.8949619059780117,0.3645718319416357,0.7743738669415441,0.6539115549545591,0.1493606138107417,0.01329923273657289,0.8639386189258312,0.9469180144568599,0.1679337562812948,0.7396667342319515,0.6229392391799878,0.06020245071923282,0.0031965903036760787,0.9429941395844432,0.9716323803343205,0.4054364218360581,0.6984069535894418,0.611408373058339,0.15612033195020747,0.0031120331950207467,0.8469917012448133,0.9252836475212604,0.6007286289573852,0.7233280363170751,0.6482127111696957,0.28455696202531644,0.004556962025316456,0.72,0.8918483604333307,0.66498684607872,0.6994360117978554,0.6398502328610985,0.3661257606490872,0.017748478701825558,0.6516227180527383,0.8661098003198543,0.618407135648826,0.7193691682098051,0.6588691685193218,0.27258883248730964,0.014720812182741117,0.7421319796954314,0.8814344314336603
convnext_blackbox,fold_2,0.5142283874294861,0.7423838925490686,0.6971348841655353,0.19905262073936772,0.007105344454742045,0.8080527237153743,0.9186438424606233,0.5523982284019201,0.7314967029875299,0.6813166443017882,0.21417721518987343,0.004556962025316456,0.790379746835443,0.9024441432202858,0.5560957823086496,0.7337174533835854,0.71343998847513,0.21204188481675393,0.006806282722513089,0.7947643979057591,0.9155014196900816,0.5609448988394439,0.7245320800974486,0.6516372075297099,0.2233502538071066,0.007106598984771574,0.783756345177665,0.9018589166585355,0.5506094561993907,0.7301197008208273,0.6885085637810459,0.24031413612565444,0.008900523560209424,0.768586387434555,0.904231459406042,0.32969623369788187,0.774680496147084,0.7213676378157458,0.10585817060637205,0.008221993833504625,0.9023638232271326,0.9596667679210894,0.20673824692298232,0.657199551863246,0.6349248316380395,0.05369484316852738,0.001594896331738437,0.947900053163211,0.9585434009273611,0.35967453789449016,0.719139594655496,0.6712706833396488,0.12004175365344467,0.0036534446764091857,0.8836116910229646,0.947452216575494,0.5149438298502204,0.7602920779027248,0.7219394672440137,0.21388748099341104,0.0015205271160669033,0.7876330461226558,0.917435195951307,0.6375289989243327,0.7209222324037788,0.690990930920277,0.309680689305626,0.00912316269640142,0.6994424733907755,0.8759169026353294,0.7100806538855875,0.6571770918104276,0.6129173901370407,0.2891260162601626,0.019308943089430895,0.7301829268292683,0.8583327601820882
densenet121,fold_0,0.5086822752172819,0.7532785123802036,0.6808321472137062,0.2153718837281473,0.00724112961622013,0.7918692458880728,0.9202900035129717,0.500194376483376,0.7153878216019249,0.6782467838967414,0.20051150895140665,0.001534526854219949,0.8010230179028133,0.9202854769856739,0.5924545978981051,0.7388609701944783,0.6545825435003726,0.28608923884514437,0.009448818897637795,0.7233595800524935,0.9000018230234933,0.44246129142621143,0.7641070763161183,0.7086909243741818,0.18363171355498722,0.0020460358056265983,0.8184143222506394,0.9323780521038677,0.6302028770507945,0.7309428332873732,0.6527903349459381,0.2955020920502092,0.01778242677824268,0.7222803347280334,0.8899737782942521,0.34422730446406336,0.734550241941732,0.6803728285825744,0.11391752577319587,0.005670103092783505,0.8917525773195877,0.9571302733205688,0.18568445718413207,0.7386839911477727,0.6264077512573493,0.06740976645435244,0.0005307855626326964,0.9331210191082803,0.9724158725975762,0.3673413538667422,0.7297923694066126,0.6576993696507055,0.1366718831507564,0.001564945226917058,0.8648930620761607,0.9482507240198382,0.526092356364943,0.7733517074504133,0.6963524661157391,0.23721881390593047,0.004601226993865031,0.7673824130879345,0.9122553553059213,0.6768653788644816,0.7171020239855288,0.6737176488710802,0.3270311701584057,0.010219724067450179,0.6831885539090444,0.8746872896561583,0.6458339273299176,0.691396365093377,0.6189530556730376,0.30158730158730157,0.01894521249359959,0.717357910906298,0.8751935319123317
