,weighted_log_loss,weighted_log_loss,balanced_accuracy,balanced_accuracy,macro_f1,macro_f1,accuracy,accuracy,auc_ovr,auc_ovr
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
cbm_leaky,0.5174,0.014,0.7329,0.005,0.6892,0.0124,0.8111,0.0188,0.9159,0.0026
cbm_nonleaky,0.541,0.0133,0.7171,0.0252,0.685,0.0173,0.814,0.0353,0.9185,0.0106
convnext_blackbox,0.5091,0.0156,0.7422,0.0048,0.6898,0.0196,0.8026,0.0216,0.9204,0.0097
densenet121,0.527,0.02,0.725,0.0248,0.6755,0.0059,0.8024,0.0115,0.9172,0.0036
efficientnet_b4,0.65,0.0228,0.6692,0.0074,0.6155,0.0245,0.7532,0.0404,0.8817,0.0138
resnet50,0.5729,0.0165,0.7004,0.0191,0.6454,0.0079,0.7756,0.0101,0.9001,0.0056
vit_small,0.5205,0.0212,0.7106,0.0354,0.6766,0.0164,0.8061,0.0058,0.9176,0.007
