sample_id,method,randomization_level,ssim
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,1,-0.048537881365783804
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,2,-0.042838445440787014
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,3,0.019342835168662028
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,4,0.23993643654010074
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,5,-0.05226066712374399
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,1,0.8430480582968819
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,2,0.7268477830168805
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,3,0.6510911949603921
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,4,0.5060455267091546
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,5,0.5545513978856198
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,1,0.7974295764058258
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,2,0.7258880650296985
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,3,0.699177212226362
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,4,0.4994133815013502
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,5,0.5075404471984654
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,1,0.7513653012438967
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,2,0.07594723418442137
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,3,0.03039467290911863
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,4,0.06577649311921027
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,5,0.039132128307185564
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,1,0.09714306177662306
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,2,0.15973909556775404
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,3,0.18864500488505787
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,4,0.2104022054494552
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,5,0.2605443801324622
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,1,0.6121477919341219
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,2,0.6719819833952325
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,3,0.6346893155147333
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,4,0.658933343035284
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,5,0.48589277768551414
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,1,0.7855923780027008
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,2,0.5884697394132878
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,3,0.6343568202553309
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,4,0.6107206631108841
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,5,0.5341010207682103
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,1,0.7179010780567828
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,2,0.018397583629111095
