method,randomization_level,mean,std
gradcam,1,0.2742109181778649,0.2225418176603835
gradcam,2,0.2534515989130905,0.1819283788514743
gradcam,3,0.23567333963464898,0.18619282873465387
gradcam,4,0.2914136446750009,0.1996156392025971
gradcam,5,0.29955934067524703,0.22524873528411823
gradient_shap,1,0.7924625741275952,0.07946801583279751
gradient_shap,2,0.6452677526272528,0.09664578134321399
gradient_shap,3,0.6306776756329353,0.0779531063189533
gradient_shap,4,0.5198158437804172,0.10760123188849077
gradient_shap,5,0.5431196180093958,0.10634941989867457
integrated_gradients,1,0.7880562978667557,0.08318471880537288
integrated_gradients,2,0.6633560633753222,0.0811448028071779
integrated_gradients,3,0.6616787854679282,0.07827465299618457
integrated_gradients,4,0.5552795064956147,0.13334609676168716
integrated_gradients,5,0.5398729803337882,0.10876283041437725
occlusion,1,0.6042346913358901,0.1381643918497774
occlusion,2,0.11701871772462324,0.055060726413114325
occlusion,3,0.07878092343329772,0.0378329699124422
occlusion,4,0.07769521901106341,0.03561617467111318
occlusion,5,0.11049778461018553,0.050265087078905354
