model,fold,mean_spearman,mean_top20_iou,skipped
convnext_blackbox,fold_0,0.2580610821384255,0.28520462087146276,{}
convnext_blackbox,fold_1,0.25096747916956696,0.28725322664082303,{}
convnext_blackbox,fold_2,0.16138930861696474,0.25278315994593775,{}
convnext_blackbox,fold_3,0.2724957666023151,0.2874258398886756,{}
convnext_blackbox,fold_4,0.32680145680280404,0.32509177335615563,{}
densenet121,fold_0,0.5148219511525882,0.408069800978927,{}
densenet121,fold_1,0.494683989350373,0.3967215828422088,{}
densenet121,fold_2,0.5305232664984288,0.4175325294415137,{}
densenet121,fold_3,0.5387896804090734,0.4190031778071573,{}
densenet121,fold_4,0.5101618620010359,0.4112340755205311,{}
efficientnet_b4,fold_0,0.41236464017166224,0.35059871008419546,{}
efficientnet_b4,fold_1,0.4075256566310797,0.3444716015375153,{}
efficientnet_b4,fold_2,0.4165625566863661,0.3547994508817144,{}
efficientnet_b4,fold_3,0.4165643468995104,0.3503144659709094,{}
efficientnet_b4,fold_4,0.40464345641128063,0.3404428220361253,{}
resnet50,fold_0,0.41778309440801215,0.3824467819964909,{}
resnet50,fold_1,0.41905685694581035,0.3714994151004306,{}
resnet50,fold_2,0.435088444961238,0.38264802983917484,{}
resnet50,fold_3,0.4324450959684316,0.38276042722162507,{}
resnet50,fold_4,0.4454137384132838,0.3884614143262316,{}
vit_small,fold_0,0.27996126698297247,0.299150247273766,{}
vit_small,fold_1,0.29001112968439596,0.30261297771149853,{}
vit_small,fold_2,0.28314533518079255,0.2989579088359026,{}
vit_small,fold_3,0.28010050936616465,0.2977649098515531,{}
vit_small,fold_4,0.28219951392498666,0.28814653144721614,{}
