method,randomization_level,mean,std
gradcam,1,0.24534097718689327,0.1733259969638735
gradcam,2,0.29463769327133393,0.16425299562816204
gradcam,3,0.3238931048820394,0.1816536191670898
gradcam,4,0.2898847579107093,0.17455797816669769
gradcam,5,0.3688553171391359,0.20976352561214703
gradient_shap,1,0.7658290708864247,0.15903846278337005
gradient_shap,2,0.18380005039955946,0.07263940216823442
gradient_shap,3,0.1746470925083673,0.07467535167345896
gradient_shap,4,0.1017143640795564,0.05725039305191675
gradient_shap,5,0.01860783464856165,0.008489514169465107
integrated_gradients,1,0.7449610793232153,0.1493372186721053
integrated_gradients,2,0.17997466686067556,0.07397079644170189
integrated_gradients,3,0.17601070056113838,0.06997083245401507
integrated_gradients,4,0.11961254091567616,0.04292285287555721
integrated_gradients,5,0.01726702285337529,0.007915300895493957
occlusion,1,0.5647767291727354,0.14308753619701234
occlusion,2,0.1192230501949193,0.05059597019395198
occlusion,3,0.09976224286283174,0.03208063593747077
occlusion,4,0.08716170551866216,0.03528453440691431
occlusion,5,0.07611438177178305,0.022807776602297956
