method,randomization_level,mean,std
gradcam,1,0.2742109181778649,0.2225418176603835
gradcam,2,0.2534515989130905,0.1819283788514743
gradcam,3,0.23567333963464898,0.18619282873465387
gradcam,4,0.2914136446750009,0.1996156392025971
gradcam,5,0.29955934067524703,0.22524873528411823
gradient_shap,1,0.7924625744148809,0.07946801545366047
gradient_shap,2,0.6452677528692442,0.09664578105891951
gradient_shap,3,0.6306776763290071,0.07795310522698892
gradient_shap,4,0.5198159304110141,0.10760123259639298
gradient_shap,5,0.5431196183076964,0.10634941938863247
integrated_gradients,1,0.7880562979391652,0.08318471793288718
integrated_gradients,2,0.6633560635598071,0.08114480253655962
integrated_gradients,3,0.6616787851923539,0.07827465296783334
integrated_gradients,4,0.5552795064598406,0.13334609670947073
integrated_gradients,5,0.5398729806573898,0.10876283062496019
occlusion,1,0.6042346913358901,0.1381643918497774
occlusion,2,0.11701871772462324,0.055060726413114325
occlusion,3,0.07878092343329772,0.0378329699124422
occlusion,4,0.07769521901106341,0.03561617467111318
occlusion,5,0.11049778461018553,0.050265087078905354
