sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
cub_00001,0,0,0.06736108542827422,0.06736108542827422,0.06404049940319964,0.1895847771898843,guided_backprop occlusion gradcam,0.13825386151555266,0.1245274020448469,0.1378735263076449,0.13768626262650724,0.1633863986897506,0.1680138973216432,0.13025865149405452
cub_00050,0,0,0.5655537843122146,0.5655537843122146,0.5387213520589285,0.6131584074697458,occlusion attention_rollout gradient_shap,0.11462112870473677,0.13564933670793566,0.13161878922001685,0.13953709807678075,0.19040959296392046,0.11828879298556806,0.1698752613410414
cub_00109,1,1,0.644388484529918,0.644388484529918,0.5779789233987686,0.5879724464786704,occlusion attention_rollout gradcam++,0.14130121781376823,0.14937356573472332,0.10672843148289726,0.11130967115669997,0.19642155704698963,0.11022183090708026,0.18464372585784145
cub_00156,2,2,0.6726599710644223,0.6726599710644223,0.6697495705564506,0.7127982085221447,occlusion attention_rollout gradient_shap,0.11360917429350065,0.11824816543245607,0.1289048394605148,0.1365687812318154,0.19768840638169227,0.12631441897967619,0.17866621422034468
cub_00202,3,3,0.5583151103463022,0.5583151103463022,0.5627209637197665,0.5364520764676854,occlusion attention_rollout gradcam++,0.13647582400401143,0.1473412524020269,0.13019407751774711,0.13464697817541027,0.16865467944111082,0.13129738127767457,0.15138980718201886
cub_00256,4,4,0.7379701736150309,0.7379701736150309,0.7248917397810145,0.816590877971612,occlusion attention_rollout gradient_shap,0.1270068965881826,0.13110235551690128,0.14204188303552553,0.14761504188498717,0.16400262525804735,0.13275211997078604,0.15547907774556996
cub_00302,5,5,0.6154447580571287,0.6154447580571287,0.43280425713164733,0.832968385226559,attention_rollout occlusion gradcam,0.14436014912182538,0.10173351479204229,0.13441308222548193,0.1406961576561463,0.17388236314348524,0.12376729694874031,0.18114743611227868
cub_00347,6,6,0.8651296045980417,0.8651296045980417,0.8678660896024667,0.8588531773886645,occlusion attention_rollout gradient_shap,0.1341464029708157,0.1279953676225974,0.14744942042220927,0.14855312021782277,0.15558989755483807,0.13353310208874247,0.1527326891229743
cub_00406,7,7,0.5535057875502389,0.5535057875502389,0.5295202103618067,0.5618496901530307,integrated_gradients attention_rollout gradient_shap,0.11298501821482924,0.11699208693274474,0.16176062240772446,0.15843502053571534,0.14598622276405337,0.14222304749617842,0.1616179816487545
cub_00445,8,25,0.2401844690321013,0.2401844690321013,0.24048452404094858,0.15657195992534978,attention_rollout occlusion integrated_gradients,0.12960412897736273,0.1419238027314503,0.14350757791728938,0.1425253479702637,0.14928839350465353,0.13905578492649337,0.15409496397248698
cub_00490,9,9,0.24956534389639276,0.24956534389639276,0.2418917298899032,0.3068894859054126,occlusion gradcam guided_backprop,0.15547598961295275,0.12703393654874176,0.13775354763915387,0.13998258894733756,0.1597373745759992,0.14409981521284113,0.1359167474629737
cub_00558,10,10,0.7755201384075916,0.7755201384075916,0.7616816660971382,0.8280886042979545,occlusion attention_rollout gradient_shap,0.10066055431910213,0.13892230325603347,0.133690892234521,0.14942664586421087,0.17967103467944406,0.1376580204377249,0.15997054920896375
cub_00603,10,197,0.2616923500085249,0.2616923500085249,0.23075102635193612,0.26840555089293044,occlusion attention_rollout gradcam,0.13303415022908388,0.13029536679445838,0.12599338900040988,0.13002540161054751,0.21522048697079646,0.1282199898746714,0.1372112155200324
cub_00636,11,11,0.8664699065033346,0.8664699065033346,0.8676020224113017,0.8561379407998174,attention_rollout gradient_shap integrated_gradients,0.13411054213616316,0.14974384965529727,0.15096504967288116,0.1544264612315279,0.10514808524121474,0.15016637378290504,0.1554396382800107
cub_00700,12,12,0.8098728894139641,0.8098728894139641,0.8024576595867984,0.832376599952113,occlusion attention_rollout gradient_shap,0.1424733408483551,0.13938829793897872,0.1324893051726121,0.14513953400375493,0.1577820792448526,0.13100752960152423,0.15171991318992248
cub_00753,13,13,0.9241598029970192,0.9241598029970192,0.9238457908271811,0.9161816110252403,occlusion attention_rollout gradcam++,0.14677618158600728,0.14743411880789423,0.13822040533861213,0.14119886695600162,0.14788009889183257,0.13082090908727512,0.1476694193323771
cub_00809,14,14,0.867106458725175,0.867106458725175,0.8709738703386393,0.8741095723526087,occlusion attention_rollout guided_backprop,0.1159367189820655,0.11271267962015333,0.1530067502086324,0.15052823711647778,0.15823143543277177,0.15384894612132322,0.15573523251857602
cub_00853,15,15,0.8981607349938713,0.8981607349938713,0.8984973015612924,0.900826493126806,occlusion attention_rollout gradcam++,0.14205700600515894,0.14467876254059306,0.1419397646332958,0.14422684474753006,0.14986685571982544,0.12891251535197612,0.14831825100162066
cub_00907,16,16,0.8881280125235207,0.8881280125235207,0.8871473164414055,0.8941962123964913,attention_rollout occlusion gradient_shap,0.14611906854881568,0.12973798557295924,0.14787069532264452,0.15097711745202755,0.1537927583370416,0.11449148511491641,0.15701088965159504
cub_00950,16,16,0.8307625853572972,0.8307625853572972,0.8368733779643663,0.8584772647474892,attention_rollout occlusion gradient_shap,0.1514149409264989,0.07818622861831438,0.15262512510725654,0.15719119180880017,0.1622864275133614,0.13556635655993884,0.16272972946582973
cub_01001,18,18,0.6408065251307562,0.6408065251307562,0.6461704987101256,0.6470388695830479,attention_rollout occlusion gradcam++,0.137181475387185,0.14898879489970612,0.122713881641165,0.11496040587480484,0.1601781517358144,0.14745365907179434,0.1685236313895303
cub_01048,18,18,0.8760054057929665,0.8760054057929665,0.8769107634667309,0.8865359025541693,occlusion attention_rollout gradcam++,0.07480622275592497,0.16776616183209195,0.13049718771452165,0.13951759406063904,0.17768338006405457,0.13832106476027264,0.17140838881249515
cub_01098,19,19,0.662537816085387,0.662537816085387,0.6509576886077412,0.6735916300793178,attention_rollout gradient_shap integrated_gradients,0.11204193121220274,0.14258361924869928,0.14844979571089112,0.15308610506309114,0.14509878500325596,0.138730943163013,0.16000882059884677
cub_01157,20,20,0.7346255221404135,0.7346255221404135,0.7367394936271011,0.7261842899955808,occlusion integrated_gradients attention_rollout,0.12008591780200925,0.11332836663657872,0.158559874759307,0.1582186546578274,0.16152268737651918,0.12979421860383183,0.15849028016392666
cub_01203,21,21,0.15360275852144695,0.15360275852144695,0.15073468154878356,0.15288339399849063,attention_rollout gradcam gradcam++,0.14366452407415486,0.14351610545704366,0.14081803977510007,0.13852178315652477,0.14005960837473627,0.1406390194372024,0.1527809197252379
cub_01245,22,24,0.20306141142500564,0.20306141142500564,0.21685619309428147,0.31995679654646664,gradient_shap attention_rollout integrated_gradients,0.13110727067117361,0.1370756025877847,0.15016136542231345,0.1701360348455812,0.11992631410657684,0.14058935760961574,0.15100405475695444
cub_01303,23,23,0.571046546078287,0.571046546078287,0.5312191702192649,0.7099537008209155,occlusion attention_rollout gradcam++,0.1166900769565125,0.14344241738659355,0.13417912709871635,0.1414168949710994,0.18634023868156294,0.10069855471001625,0.17723269019549912
cub_01353,24,22,0.6343351130373776,0.6343351130373776,0.6008434568531811,0.589416264463216,occlusion attention_rollout gradient_shap,0.10665115594566169,0.10066279834260171,0.15354102715135087,0.15485752657425705,0.17542263533091026,0.14197523444085294,0.16688962221436543
cub_01392,24,24,0.8687731847167015,0.8687731847167015,0.8660395147278905,0.8657154412940143,occlusion integrated_gradients attention_rollout,0.14245809297445597,0.10795425443471514,0.15503874707633603,0.1526551368527743,0.15979750168269446,0.12843830308155332,0.15365796389747063
cub_01444,25,25,0.8255201802705416,0.8255201802705416,0.8006784842466004,0.8328773931716568,attention_rollout occlusion gradient_shap,0.08751446560525888,0.12139700950502443,0.15200989867301334,0.15575028377932668,0.16777656034512112,0.1460457197406688,0.16950606235158674
