sample_id,method,randomization_level,ssim
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,1,0.08018806373596697
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,2,0.2703577493938158
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,3,0.3562644263595104
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,4,0.5176483138415796
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,5,0.08428145236932809
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,1,0.597206288855757
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,2,0.5396267405387843
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,3,0.5259742699382844
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,4,0.5041340425304337
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,5,0.3435551223860549
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,1,0.5378886949896295
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,2,0.5988751470242334
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,3,0.4778921945846386
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,4,0.5799484246695057
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,5,0.37118618937773645
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,1,0.35762218981453603
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,2,0.11074544198364782
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,3,0.08792078274891738
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,4,0.11110786385776958
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,5,0.11270168624566601
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,1,0.09442893599681207
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,2,0.2709001985506239
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,3,0.12207326871080347
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,4,0.2744825885211152
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,5,0.35301504720080074
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,1,0.7071012688840933
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,2,0.49355543641060473
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,3,0.5662859206934924
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,4,0.5592450030660155
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,5,0.3755058145037106
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,1,0.5638449719634566
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,2,0.6061062837111075
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,3,0.5617696414709612
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,4,0.5790710732071485
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,5,0.4200979067464686
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,1,0.48898847483002
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,2,0.06159561987745042
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,3,0.06481791483052478
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,4,0.08442210571128622
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,5,0.09771091522351827
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,1,0.22292644532932734
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,2,0.32453604090779054
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,3,0.12170641583607669
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,4,0.15515275849788204
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,5,0.22261621807156903
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,1,0.6842537602004697
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,2,0.5948325175405289
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,3,0.5195185263588648
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,4,0.5860182950651057
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,5,0.44773137689446085
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,1,0.6461438136100268
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,2,0.6757360201762522
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,3,0.6616580442341564
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,4,0.650209101370635
