sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00006,0,0,0.7023868549498731,0.7023868549498731,0.7005490690818987,0.7059500240138732,occlusion gradient_shap gradcam,0.16945354036061935,0.15662907401707332,0.1601772574173007,0.18246668976620858,0.18680285913307676,0.14447057930572133
cub_00053,0,0,0.7320764587144368,0.7320764587144368,0.7407672412111425,0.6992362728226,occlusion gradcam++ gradcam,0.1684640463857562,0.1708740088963132,0.16169012867432056,0.15078097189935868,0.20107948899761008,0.1471113551466414
cub_00099,1,1,0.807482560898643,0.807482560898643,0.8021943715400993,0.7862755088019184,gradcam gradient_shap occlusion,0.18482826616984047,0.16286405927140116,0.17009594276078757,0.18361828328930016,0.18089479012151183,0.1176986583871587
cub_00147,2,2,0.7368105682893655,0.7368105682893655,0.7312823255662806,0.7507740931469017,gradcam++ gradcam gradient_shap,0.19085789850857487,0.19279749008725444,0.16524979129667355,0.18327208591148422,0.14640638015075177,0.12141635404526117
cub_00208,3,3,0.7956082229968162,0.7956082229968162,0.7975538612809033,0.7952585591468959,occlusion gradcam++ gradcam,0.17851213408869876,0.17857118875328376,0.15648244977350623,0.16068262560173358,0.19180502546589423,0.1339465763168834
cub_00258,4,4,0.743698666524142,0.743698666524142,0.745636746380478,0.7594233783893287,occlusion gradcam integrated_gradients,0.17092539607634047,0.16664542369104582,0.1678132217106259,0.16341904916645794,0.18456951371327202,0.14662739564225785
cub_00306,5,5,0.663312570960261,0.663312570960261,0.6699419955024496,0.7063007983611895,gradcam occlusion gradcam++,0.19187679610541827,0.17884284103667974,0.16145099911623756,0.16774865309594486,0.18336540910619498,0.11671530153952472
cub_00346,6,6,0.8399242991465145,0.8399242991465145,0.8358030313509516,0.8203046010690741,gradcam occlusion gradcam++,0.18798470893185412,0.17689107778576804,0.1462454995034006,0.16703190548151578,0.1793132375581069,0.14253357073935446
cub_00399,7,7,0.8419529978069478,0.8419529978069478,0.8499729279312305,0.827579386148136,occlusion gradcam gradcam++,0.17196628665503824,0.16496131004040168,0.1604124352113544,0.15772528782388848,0.18345903523279838,0.16147564503651882
cub_00444,8,8,0.8057792083593086,0.8057792083593086,0.8086453500436619,0.7955795218469575,occlusion gradcam gradient_shap,0.17579123148295578,0.17119626454551654,0.16937784655313795,0.17123196041534977,0.17836083233824462,0.1340418646647954
