sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00006,0,0,0.7769757976697292,0.7769757976697292,0.7635035088227595,0.7728322377370205,gradient_shap integrated_gradients guided_backprop,0.1576545926851451,0.15959411307132018,0.1731449480061562,0.18500661464484858,0.16091732111601753,0.16368241047651239
cub_00053,0,0,0.6458065873826854,0.6458065873826854,0.6222244915246847,0.6836497627606151,occlusion guided_backprop gradcam,0.16073110190766335,0.13314714520464266,0.16001818614496446,0.15878358687955385,0.22171660544639601,0.16560337441677966
cub_00099,1,1,0.530800378508866,0.530800378508866,0.48610970545560117,0.5552079187706113,gradcam occlusion gradient_shap,0.21990723085863692,0.15119392730627412,0.15820544329791672,0.16398704193525435,0.16449827103125983,0.14220808557065814
cub_00147,2,2,0.5416643837932498,0.5416643837932498,0.5288433388341217,0.5933663993608206,gradcam gradcam++ guided_backprop,0.18821362575022632,0.18468215170196317,0.15858940299690805,0.1597378087145343,0.13291864720982394,0.17585836362654436
cub_00208,3,3,0.745053220720729,0.745053220720729,0.744195875612786,0.7778908001200762,occlusion guided_backprop gradcam,0.16459166482173196,0.16367217728694988,0.15654871990575409,0.16407350713656077,0.1839047419139645,0.1672091889350388
cub_00258,4,4,0.7570311643532478,0.7570311643532478,0.7421374917379582,0.6758299954584801,gradcam occlusion gradcam++,0.17588591371589568,0.1716277849163629,0.16656841869902994,0.1612918043248179,0.17193901688756094,0.15268706145633282
cub_00306,5,5,0.7921329580363817,0.7921329580363817,0.7778086755541154,0.8013544858316891,gradcam gradcam++ occlusion,0.20391106048462596,0.19498802619056685,0.13884899190917366,0.13914076465483266,0.19219603743696392,0.1309151193238371
cub_00346,6,6,0.844603989971074,0.844603989971074,0.84070036611447,0.8633365030858839,gradcam gradcam++ guided_backprop,0.1789605640510044,0.17828679376451687,0.15595018879743064,0.16306349692104216,0.1604183397283666,0.16332061673763923
cub_00399,7,7,0.8846812346295337,0.8846812346295337,0.8858835236445884,0.847304527349479,occlusion gradcam gradcam++,0.17595874188996316,0.1748645512762095,0.16099228711906557,0.15812745282158122,0.1853938093076519,0.1446631575855286
cub_00444,8,8,0.45647586233681064,0.45647586233681064,0.31976727828150614,0.6276084514684043,gradient_shap integrated_gradients occlusion,0.10877801726124885,0.10954769628196397,0.1995149293527608,0.20541534119382904,0.1955680555977203,0.18117596031247704
cub_00506,9,9,0.8956256077159196,0.8956256077159196,0.9084420547354966,0.9158376917708665,gradcam gradcam++ occlusion,0.17986228483908367,0.1793361883704337,0.160310480153244,0.15876700684843975,0.16306538785975305,0.15865865192904577
cub_00550,10,10,0.8615558186540512,0.8615558186540512,0.8392017594649587,0.8717656222515869,occlusion integrated_gradients gradcam,0.1690024115354612,0.15656496910410442,0.17301897059213062,0.1533000575893144,0.18086660564649604,0.16724698553249343
cub_00606,11,11,0.8926916143274867,0.8926916143274867,0.8946773363626561,0.9458324155188166,gradcam gradcam++ occlusion,0.18156203019063924,0.18036339940940835,0.16270227848759705,0.16727000949432247,0.179531303991545,0.12857097842648785
