sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00001,0,0,0.35203134025214233,0.35203134025214233,0.3476966610993259,0.3799350294633768,occlusion gradcam gradcam++,0.1752582572892626,0.16805089268944762,0.15644344390755052,0.15827771306106325,0.1843872801562818,0.15758241289639416
cub_00050,0,0,0.4981845158501527,0.4981845158501527,0.4915337819023989,0.55708183379611,occlusion gradient_shap gradcam,0.16407135275272391,0.15541145410006357,0.15717105899079817,0.1744886930285583,0.204392903642586,0.14446453748526986
cub_00109,1,1,0.3837295588105917,0.3837295588105917,0.36949009468080485,0.35650327017647215,occlusion gradcam gradcam++,0.1851854315095218,0.1796683644265861,0.14406081347822997,0.1489706382669974,0.19435350624980188,0.1477612460688629
cub_00156,2,2,0.7669346382142976,0.7669346382142976,0.7623644836479798,0.7690467667998746,occlusion gradient_shap gradcam,0.17217979980336182,0.16822388586765027,0.16874056642194932,0.17713781954159635,0.17792455125811785,0.13579337710732445
cub_00202,3,3,0.3739886077586561,0.3739886077586561,0.3411954561714083,0.3983416902367025,occlusion gradcam gradcam++,0.18402178288600882,0.17880718031530043,0.14427279832524068,0.14245216534404198,0.20381650102454096,0.14662957210486707
cub_00256,4,4,0.8357179386133794,0.8357179386133794,0.8363771376723891,0.8344571796769743,occlusion gradcam gradcam++,0.17928825795141096,0.16721916654465369,0.161662896558986,0.15859325721432305,0.18877859816525341,0.14445782356537276
cub_00302,5,5,0.7764830985106526,0.7764830985106526,0.765763804409653,0.7985532223246992,occlusion gradcam gradient_shap,0.18330222029034063,0.1560486945813375,0.15553392164481408,0.16792792779050897,0.1949851674799129,0.14220206821308592
cub_00347,6,6,0.880674975248985,0.880674975248985,0.8828198528615758,0.8829656905261799,occlusion gradcam gradient_shap,0.17684613808892025,0.17210234559693263,0.1688193372301859,0.1726245567031745,0.1840592731034543,0.12554834927733247
cub_00406,7,7,0.7681072760839015,0.7681072760839015,0.7648477871436625,0.7732473213691266,gradcam++ gradcam occlusion,0.17720642248210683,0.1816433962691717,0.16849584973037296,0.16347035630331122,0.1736292497716368,0.1355547254434006
cub_00445,8,48,0.30206784888869154,0.30206784888869154,0.2958971725660376,0.35666168694733635,integrated_gradients gradcam++ gradient_shap,0.1427560496137344,0.17258833464493853,0.19418706944078448,0.17208666328373504,0.1654029990390969,0.1529788839777105
cub_00490,9,9,0.551274380623363,0.551274380623363,0.5438033060869201,0.5374379453947767,occlusion gradcam gradcam++,0.1692490427988752,0.16670625267266032,0.14443332345839363,0.16645935115609978,0.20947190626776793,0.1436801236462034
cub_00558,10,10,0.777559625802678,0.777559625802678,0.7839654181880178,0.8192332911101402,occlusion gradient_shap integrated_gradients,0.17041737248261263,0.1658751973441802,0.17284998293417556,0.1736698232980773,0.17832827826899111,0.13885934567196304
cub_00603,10,10,0.4470760732801863,0.4470760732801863,0.44436690893780895,0.4193140632676659,occlusion gradcam gradcam++,0.1762250420231397,0.17150723437224777,0.1540291868421445,0.1612818096607105,0.19044511097352768,0.14651161612822988
cub_00636,11,11,0.9355992555967533,0.9355992555967533,0.931867647205945,0.9404477626434528,occlusion gradcam++ gradcam,0.17268025006929072,0.17395098572988893,0.1615186128179937,0.16121382216636948,0.17437163308189674,0.15626469613456026
cub_00700,12,12,0.7217761808657087,0.7217761808657087,0.7280347639345565,0.77311487585539,occlusion guided_backprop integrated_gradients,0.16372697930775615,0.16469402120232587,0.16484855193909598,0.15687994918398088,0.18113177528287772,0.16871872308396335
cub_00753,13,13,0.8834433459211141,0.8834433459211141,0.8801882930565623,0.8983966105151922,gradcam++ gradcam integrated_gradients,0.1790365288235343,0.17989284577676326,0.16909682092028003,0.16650974954000644,0.16236788335489036,0.14309617158452548
cub_00809,14,14,0.8302875228109771,0.8302875228109771,0.8316487617674284,0.8364351160707884,integrated_gradients occlusion gradcam,0.16816791509677695,0.16692740818568105,0.17075034578566728,0.16166590764979266,0.17007936001296775,0.16240906326911433
cub_00853,15,15,0.9579739979002625,0.9579739979002625,0.9584839066956193,0.959529503295198,occlusion gradcam++ gradcam,0.18535507455922492,0.18550530511273106,0.15726062049522604,0.16445372927814372,0.18666980486916548,0.12075546568550882
cub_00907,16,16,0.8080885644885711,0.8080885644885711,0.7997688483330422,0.8280794288846663,gradcam++ gradcam gradient_shap,0.1887053038491087,0.19001981470370083,0.17053113121224167,0.1726898749549075,0.15939093350178804,0.11866294177825318
cub_00950,16,16,0.5827800314757041,0.5827800314757041,0.5800417374703102,0.5223450850578956,occlusion gradient_shap gradcam++,0.1583455618668341,0.1639507719362434,0.16394229369452137,0.1682220849167968,0.18486644861918602,0.16067283896641832
cub_01001,18,18,0.6425133706070483,0.6425133706070483,0.6389474899508059,0.6633214307017624,gradcam++ gradcam occlusion,0.18962023640132766,0.19297266612027492,0.15111689801145575,0.16449698983238514,0.17249010653947933,0.12930310309507723
cub_01048,18,18,0.8845799780450762,0.8845799780450762,0.8749286468140781,0.8640159361995757,occlusion gradcam gradcam++,0.19048593024858834,0.18743985154966375,0.14908548608693123,0.1608959953397371,0.19819436587541933,0.11389837089966033
cub_01098,19,19,0.6837677211035044,0.6837677211035044,0.6834078319836409,0.7051387716550379,integrated_gradients gradient_shap gradcam++,0.16396042975280453,0.17536088358044455,0.1856539139696616,0.18112198644594948,0.15208328054167206,0.1418195057094677
cub_01157,20,20,0.7339094989874867,0.7339094989874867,0.7314418443420436,0.7314473756530788,gradcam++ occlusion gradient_shap,0.16991943660452935,0.17490980638850123,0.17134769665565666,0.1718675056614246,0.1736680550972901,0.13828749959259812
cub_01203,21,21,0.4279388298979029,0.4279388298979029,0.38799903297331184,0.49045107567217205,occlusion gradcam gradcam++,0.16552941510071154,0.16254334182371957,0.14625683458201919,0.1500536732657475,0.23198493042364016,0.14363180480416202
cub_01245,22,22,0.7163466231315397,0.7163466231315397,0.7035011769621634,0.703186525905039,gradcam++ gradcam integrated_gradients,0.19344174818522739,0.19440398791874994,0.15947473511928775,0.1592730475354546,0.14365555667351165,0.14975092456776862
cub_01303,23,23,0.7877482675830834,0.7877482675830834,0.7888308957102708,0.7479165118071252,occlusion gradcam++ gradcam,0.1796346718963081,0.18117433164347369,0.16610638012075699,0.16923629916212274,0.18739382020891868,0.11645449696841982
cub_01353,24,23,0.27372048188699405,0.27372048188699405,0.2749939120258204,0.3282603673520498,occlusion gradcam gradcam++,0.1691595533352285,0.16633467129203475,0.1587021854946609,0.16360851449601665,0.1837010511413121,0.15849402424074713
cub_01392,24,24,0.858522151526995,0.858522151526995,0.8556068015517667,0.861218771734275,occlusion gradcam++ gradcam,0.17501091648045097,0.17613184505065568,0.16566835906177924,0.16844990735178897,0.1782224496964554,0.1365165223588698
cub_01444,25,25,0.7816345945117065,0.7816345945117065,0.7773060321924277,0.7958019539830274,occlusion gradcam gradcam++,0.177702952313913,0.17675820509627663,0.15794623694473556,0.162518439261474,0.180970428136526,0.14410373824707487
