sample_id,method,label,target,deletion_auc,insertion_auc
cub_00003,gradcam,0,0,0.15305235525593164,0.7264033949817532
cub_00003,gradcam++,0,0,0.1519530179910362,0.7240831454051658
cub_00003,integrated_gradients,0,0,0.08130046130390839,0.6916663709504064
cub_00003,gradient_shap,0,0,0.07129952058894559,0.6912813629198353
cub_00003,occlusion,0,0,0.2651397828944028,0.857158158090897
cub_00003,guided_backprop,0,0,0.07519880889449268,0.774272195622325
cub_00004,gradcam,0,0,0.15040421556914227,0.6074926728470018
cub_00004,gradcam++,0,0,0.12066542421816852,0.6558798352692975
cub_00004,integrated_gradients,0,0,0.0271893021374126,0.42762879968504425
cub_00004,gradient_shap,0,0,0.026115045497135718,0.3107494793774094
cub_00004,occlusion,0,0,0.0899487242451869,0.8691097149858251
cub_00004,guided_backprop,0,0,0.026573616717359985,0.29741396683384663
cub_00011,gradcam,0,192,0.005965295212808996,0.012640342879603843
cub_00011,gradcam++,0,192,0.006327297070492933,0.03987643589789513
cub_00011,integrated_gradients,0,192,0.0048857354966457935,0.023639489385823248
cub_00011,gradient_shap,0,192,0.004754117483389565,0.023274496017984342
cub_00011,occlusion,0,192,0.005484930673264898,0.02921716569981072
cub_00011,guided_backprop,0,192,0.004975981000461616,0.030807553554768673
cub_00019,gradcam,0,0,0.32895187253598124,0.5633784079211182
cub_00019,gradcam++,0,0,0.36806998702231797,0.5509796131511393
cub_00019,integrated_gradients,0,0,0.04080356861231848,0.5202336179325358
cub_00019,gradient_shap,0,0,0.041304057883098724,0.570444918773137
cub_00019,occlusion,0,0,0.21701710105407981,0.766833121725358
cub_00019,guided_backprop,0,0,0.046925417031161494,0.6296421245671808
cub_00021,gradcam,0,0,0.11863395625259729,0.5634266565059078
cub_00021,gradcam++,0,0,0.11860685499850661,0.5088562038126838
cub_00021,integrated_gradients,0,0,0.02645189316244796,0.24854736726265397
cub_00021,gradient_shap,0,0,0.026522228535031906,0.2728683760098647
cub_00021,occlusion,0,0,0.12337751589948313,0.4818365706596523
cub_00021,guided_backprop,0,0,0.024284399955649863,0.20684281465655657
cub_00038,gradcam,0,0,0.44487138014519584,0.34379558623768386
cub_00038,gradcam++,0,0,0.4199044659500941,0.3277373667544452
cub_00038,integrated_gradients,0,0,0.029010196687886486,0.22059740192489696
cub_00038,gradient_shap,0,0,0.03355266696889885,0.23341833850136026
cub_00038,occlusion,0,0,0.09016289054416121,0.2936215303372592
cub_00038,guided_backprop,0,0,0.04916263101622462,0.1287167012284044
cub_00039,gradcam,0,0,0.0946183165186085,0.40128049663180715
cub_00039,gradcam++,0,0,0.08811240841168912,0.41166291502522656
cub_00039,integrated_gradients,0,0,0.027413673850242046,0.25567237525247033
cub_00039,gradient_shap,0,0,0.03186111121904105,0.21243963600136337
cub_00039,occlusion,0,0,0.195492936600931,0.6075198486680164
cub_00039,guided_backprop,0,0,0.029746339935809375,0.3030643316880742
cub_00041,gradcam,0,0,0.21934268816839905,0.6939833093303606
cub_00041,gradcam++,0,0,0.22696168324910107,0.7039626709505683
cub_00041,integrated_gradients,0,0,0.046878978087625006,0.16369125070632431
cub_00041,gradient_shap,0,0,0.047619453816150785,0.13779580277623604
cub_00041,occlusion,0,0,0.2583782330388204,0.5916006622603163
cub_00041,guided_backprop,0,0,0.05149948556208983,0.255518217550707
cub_00045,gradcam,0,0,0.19890295623335985,0.42403114918852225
cub_00045,gradcam++,0,0,0.10727630469482392,0.41788972752983683
cub_00045,integrated_gradients,0,0,0.022145261912373825,0.32833384420082434
cub_00045,gradient_shap,0,0,0.0245219090487808,0.3507122567621991
cub_00045,occlusion,0,0,0.05709474688628689,0.5921912889229134
cub_00045,guided_backprop,0,0,0.026493251207284633,0.3843400400830433
cub_00046,gradcam,0,0,0.03883702159182576,0.3507277222233825
cub_00046,gradcam++,0,0,0.02800643815426156,0.2996124054654501
cub_00046,integrated_gradients,0,0,0.010330760848592035,0.10178359030978754
