sample_id,consensus_insertion_auc,consensus_expert_roi,fw_consensus_insertion_auc,fw_consensus_expert_roi,uniform_consensus_insertion_auc,uniform_consensus_expert_roi,topk_consensus_insertion_auc,topk_consensus_expert_roi,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
4003253_702807833_8_spinal_canal_stenosis_l1_l2,0.9882434532046317,0.2676489055156708,0.9882434532046317,0.2676489055156708,0.9894009843468666,0.26724952459335327,0.9935873612761497,0.27934160828590393,occlusion gradient_shap attention_rollout,0.13855230303619426,0.13781164943951402,0.1447546786043906,0.14478431813148537,0.14480742458642798,0.14450904516489216,0.14478058103709562
4003253_1054713880_11_left_neural_foraminal_narrowing_l1_l2,0.9941092655062675,0.2181253731250763,0.9941092655062675,0.2181253731250763,0.9939452037215232,0.21408089995384216,0.995458520948887,0.26734936237335205,attention_rollout occlusion guided_backprop,0.1318972949738481,0.13757200403457254,0.14560703463292313,0.14531058462002652,0.14665187062363952,0.14628723206350672,0.14667397905148344
4003253_2448190387_19_right_subarticular_stenosis_l3_l4,0.5813912462443112,0.2642621397972107,0.5813912462443112,0.2642621397972107,0.5786233138293027,0.25724780559539795,0.6644981618970632,0.28260523080825806,occlusion attention_rollout guided_backprop,0.1278867631609978,0.12707202035162643,0.14774238442010787,0.14455885728753817,0.1529175658480322,0.14877648264872662,0.15104592628297073
4646740_3201256954_29_left_subarticular_stenosis_l3_l4,0.5896734789013862,0.24105215072631836,0.5896734789013862,0.24105215072631836,0.5883203983306885,0.2442193180322647,0.6794365122914313,0.21692761778831482,gradcam++ occlusion attention_rollout,0.14524446999275267,0.1611848830120966,0.13263830977504942,0.13185574068631933,0.1493650907469356,0.13330695406772639,0.14640455171912006
4646740_3486248476_15_right_neural_foraminal_narrowing_l2_l3,0.6667437463998794,0.16815508902072906,0.6667437463998794,0.16815508902072906,0.6195784039795399,0.1441473513841629,0.8098248273134231,0.27649950981140137,occlusion attention_rollout integrated_gradients,0.10748427855401191,0.11215527433164377,0.1537019607212298,0.15101590591293362,0.1685315312241084,0.14400502585594455,0.16310602340012792
7143189_132939515_9_spinal_canal_stenosis_l1_l2,0.9933230310678482,0.276398241519928,0.9933230310678482,0.276398241519928,0.9933478474617002,0.27609455585479736,0.9930825114250182,0.28260523080825806,occlusion attention_rollout guided_backprop,0.1432469477329364,0.1391944361034689,0.14341954983660207,0.14337306864616478,0.14360381243422143,0.1435715250953974,0.14359066015120886
7143189_1951927562_11_right_subarticular_stenosis_l3_l4,0.8621166447177528,0.2653558850288391,0.8621166447177528,0.2653558850288391,0.8514647636562586,0.26247647404670715,0.8829628240317104,0.25980737805366516,attention_rollout occlusion gradcam++,0.11143330216228613,0.15002212003036797,0.13460508761385698,0.13485404484543329,0.15936271229863713,0.13742333244894556,0.1722994006004729
7143189_3219733239_12_left_neural_foraminal_narrowing_l1_l2,0.9571715310215948,0.23933137953281403,0.9571715310215948,0.23933137953281403,0.9494090393185616,0.2315523624420166,0.9847319409251213,0.2779984176158905,attention_rollout occlusion guided_backprop,0.1372668644825037,0.1333232669308813,0.1427170795390157,0.14147898706356005,0.14920734578023823,0.14476035934924783,0.15124609685455326
10728036_2073726394_11_right_subarticular_stenosis_l1_l2,0.8885250583291054,0.2166515439748764,0.8885250583291054,0.2166515439748764,0.8823901429772376,0.20543941855430603,0.9360227450728418,0.22034284472465515,attention_rollout gradcam++ occlusion,0.10777029107302982,0.15266534023612688,0.1426414822145403,0.14401418648399036,0.1519342208737306,0.14439657658410152,0.15657790253448053
10728036_2399638375_14_left_neural_foraminal_narrowing_l1_l2,0.9950639054179191,0.18554270267486572,0.9950639054179191,0.18554270267486572,0.9950556829571725,0.18362392485141754,0.9951978787779807,0.2651568651199341,guided_backprop integrated_gradients occlusion,0.1405839525434315,0.13730591227317976,0.1444348064314051,0.14443054074216574,0.14443315566790138,0.1444466214556421,0.14436501088627446
13317052_1539051863_4_right_neural_foraminal_narrowing_l5_s1,0.5767185524106025,0.22695034742355347,0.5767185524106025,0.22695034742355347,0.57850112169981,0.22826169431209564,0.5926630839705467,0.17515155673027039,gradcam++ attention_rollout gradcam,0.14541926504025374,0.1482329984081469,0.13737391372603602,0.1370089660634021,0.14321932617562116,0.1417451643157581,0.14700036627078195
13317052_2500166693_3_left_subarticular_stenosis_l1_l2,0.9549089446663855,0.24633976817131042,0.9549089446663855,0.24633976817131042,0.9547011092305185,0.2449895590543747,0.9535919591784479,0.2557758390903473,gradcam attention_rollout occlusion,0.156848642166854,0.14010047072605492,0.1426354651237433,0.136882197067622,0.15057230440197564,0.11707075887967082,0.15589016163407934
13317052_2677627096_8_spinal_canal_stenosis_l5_s1,0.9882469326257706,0.2824007570743561,0.9882469326257706,0.2824007570743561,0.9882557660341263,0.2824007570743561,0.9885062575340272,0.2792398929595947,attention_rollout gradcam++ integrated_gradients,0.14125187605109374,0.14412086754349765,0.1436370106518458,0.14340494419628966,0.14223513627170797,0.1412051879831811,0.14414497730238401
29931867_1152175603_8_right_neural_foraminal_narrowing_l1_l2,0.9929831057786942,0.26625216007232666,0.9929831057786942,0.26625216007232666,0.993286681175232,0.2654553949832916,0.9950639933347702,0.2804616093635559,occlusion attention_rollout guided_backprop,0.14324689407734612,0.13282047722418633,0.14460758019172584,0.14463203775268343,0.14498254837009314,0.14480153024310108,0.14490893214086412
29931867_1676821058_11_spinal_canal_stenosis_l5_s1,0.9507371380925178,0.2790364921092987,0.9507371380925178,0.2790364921092987,0.95137227922678,0.2772088646888733,0.9522870436310769,0.2783251106739044,occlusion attention_rollout integrated_gradients,0.12471538066903007,0.1436631179463549,0.14554291532159355,0.1454942114228406,0.15011002715917268,0.14119397644978096,0.14928037103122727
58813022_302608236_15_left_subarticular_stenosis_l5_s1,0.676369896531105,0.2525496184825897,0.676369896531105,0.2525496184825897,0.67962386906147,0.24904899299144745,0.6897661298513412,0.28219637274742126,occlusion gradient_shap attention_rollout,0.1380168745974197,0.12995276979822534,0.14456840603094914,0.14673951649184638,0.14863799929883711,0.14570131327725402,0.1463831205054681
58813022_692718517_6_left_neural_foraminal_narrowing_l2_l3,0.6945864774286747,0.26874852180480957,0.6945864774286747,0.26874852180480957,0.6905942715704441,0.266650915145874,0.6655560635030269,0.2824007570743561,occlusion attention_rollout guided_backprop,0.13900948410051098,0.1366875461145079,0.1335502940415177,0.13387623080436278,0.1627990819928511,0.14037143065895258,0.15370593228729698
58813022_3875372861_9_spinal_canal_stenosis_l1_l2,0.3218523159623146,0.2605970501899719,0.3218523159623146,0.2605970501899719,0.29932836517691613,0.2514778971672058,0.5908766075968741,0.2528422474861145,occlusion gradient_shap integrated_gradients,0.14303698182291613,0.12143973479595883,0.14339185594892642,0.14450799748042353,0.17861607045148942,0.13661040476069145,0.13239695473959415
60612428_661972121_10_left_neural_foraminal_narrowing_l1_l2,0.858147692680359,0.28137943148612976,0.858147692680359,0.28137943148612976,0.8623315334320069,0.28086936473846436,0.8582416146993638,0.2755886912345886,occlusion gradcam++ attention_rollout,0.13483188131018345,0.15190211394494546,0.1357992899111961,0.13645112097607864,0.15715230242427825,0.13739831727109297,0.1464649741622252
60612428_3446457669_3_left_subarticular_stenosis_l1_l2,0.9922868266701698,0.2466294765472412,0.9922868266701698,0.2466294765472412,0.9923116877675056,0.24643631279468536,0.9915609732270241,0.26030078530311584,attention_rollout gradcam occlusion,0.14446358474474946,0.13903258117292824,0.14379827393998118,0.14350301356691197,0.14383334236064332,0.14078875127827783,0.14458045293650806
63725508_1069611138_5_right_subarticular_stenosis_l3_l4,0.5302017048001291,0.26625216007232666,0.5302017048001291,0.26625216007232666,0.5254379495978356,0.2700505256652832,0.6332875087857247,0.06184002012014389,gradcam gradcam++ occlusion,0.15450891829466898,0.15303141314524818,0.13497321102861323,0.13689351615716325,0.14783886437774374,0.13309289011040923,0.13966118688615337
63725508_1547488253_6_right_neural_foraminal_narrowing_l4_l5,0.7830790400505067,0.24105215072631836,0.7830790400505067,0.24105215072631836,0.7739015951752664,0.2405736744403839,0.7940995842218399,0.2641628086566925,occlusion gradcam guided_backprop,0.14707404756125825,0.1413038937691909,0.14297045160003727,0.1407806662560504,0.15003642090062574,0.14308052234330987,0.13475399756952747
63725508_2144061947_11_spinal_canal_stenosis_l1_l2,0.5133010979741811,0.24172261357307434,0.5133010979741811,0.24172261357307434,0.5032931562513112,0.23344066739082336,0.586813561245799,0.2811753451824188,occlusion guided_backprop attention_rollout,0.1316297661710895,0.12646151069211595,0.14693092232112012,0.14655881007551072,0.1502282551560797,0.1494141937408352,0.14877654184324882
69086098_475539618_21_right_subarticular_stenosis_l3_l4,0.6103680774569511,0.2571495473384857,0.6103680774569511,0.2571495473384857,0.6126773640513419,0.2570513188838959,0.6100479260087014,0.24740269780158997,occlusion gradcam attention_rollout,0.1449901866708112,0.14191676903772651,0.13640608560929507,0.1371932527808312,0.15120889027704654,0.14352664102763937,0.14475817459665025
69086098_2449982462_4_right_neural_foraminal_narrowing_l4_l5,0.5072672791779042,0.26724952459335327,0.5072672791779042,0.26724952459335327,0.4980218105018138,0.266650915145874,0.5482478581368924,0.2753864526748657,guided_backprop occlusion gradient_shap,0.12666772366948387,0.13874420337038973,0.14315226943950965,0.14584879961003844,0.14699673646320732,0.15275341776304488,0.14583684968432611
82066307_716781115_2_right_subarticular_stenosis_l1_l2,0.9919066786766052,0.210063174366951,0.9919066786766052,0.210063174366951,0.9918969899415969,0.19514188170433044,0.9919551193714142,0.28086936473846436,attention_rollout integrated_gradients gradient_shap,0.14407381531559638,0.12523884073701594,0.14613935956458782,0.14613802467359235,0.14613456403091224,0.14612924169976768,0.14614615397852762
82066307_2003554076_4_spinal_canal_stenosis_l1_l2,0.993950317800045,0.18887165188789368,0.993950317800045,0.18887165188789368,0.993950317800045,0.18746770918369293,0.9939508602023124,0.27478012442588806,occlusion attention_rollout gradient_shap,0.14179578789136035,0.14091805531977805,0.1434516670852412,0.14345997872840166,0.14346190653749205,0.14345072440831963,0.14346188002940696
82066307_3966938697_12_right_neural_foraminal_narrowing_l1_l2,0.9520798057317733,0.10319527983665466,0.9520798057317733,0.10319527983665466,0.9534501284360886,0.10002734512090683,0.989357829093933,0.25469857454299927,occlusion attention_rollout guided_backprop,0.14348316136599687,0.13723610452050541,0.14361385923672398,0.1435960674125987,0.1442274841606887,0.1436763333885736,0.14416698991491256
107935613_729255173_13_right_subarticular_stenosis_l3_l4,0.6965752378106117,0.2500194311141968,0.6965752378106117,0.2500194311141968,0.6936833292245864,0.25040802359580994,0.6881409719586372,0.24547143280506134,occlusion gradcam attention_rollout,0.1547071312858262,0.13018257983902132,0.1370188801585813,0.13609482702544914,0.15619888033369297,0.1333210419876234,0.1524766593698057
