baseline_mode,samples,map_spearman_mean,top20_iou_mean,mean_abs_diff_mean,identical_fraction,ig_insertion_auc_mean,gradient_shap_insertion_auc_mean,insertion_auc_delta_mean,input_grad_l2_mean,fold
black,48,0.6271627251859951,0.317306651148383,0.0301090279050792,0.0,0.5390732652701747,0.5709707124740816,0.0318974472039068,0.4142021799149613,fold_0
gray,48,0.485862446502832,0.2628580486232796,0.0363985223618025,0.0,0.5231536466919351,0.5637085457565263,0.0405548990645911,0.4142021799149613,fold_0
mean,48,0.4952175202966601,0.280322594404699,0.0273558337163801,0.0,0.5477675968063219,0.5952356877271086,0.0474680909207866,0.4142021799149613,fold_0
black,48,0.5527587098668703,0.3298206869931201,0.0284232127402598,0.0,0.5846469220482201,0.6412901220843196,0.0566432000360994,0.4997175601311028,fold_1
gray,48,0.3839711602493557,0.2161433153604009,0.038547981569233,0.0,0.5786380551455902,0.6194777686721257,0.0408397135265355,0.4997175601311028,fold_1
mean,48,0.4052808173653237,0.2514583275729867,0.0272368472263527,0.0,0.5996429499182947,0.6507613472494995,0.0511183973312048,0.4997175601311028,fold_1
black,48,0.6571628938287487,0.3511597676949419,0.0264062559969412,0.0,0.4276023334842951,0.4615126208499229,0.0339102873656277,0.5425824959141513,fold_3
gray,48,0.3632958513250587,0.2112418870034474,0.0411197145391876,0.0,0.3875931387320936,0.4136560857897469,0.0260629470576532,0.5425824959141513,fold_3
mean,48,0.3855741055223487,0.2414909727443428,0.0279727741532648,0.0,0.4273845643755825,0.4646752819321894,0.0372907175566069,0.5425824959141513,fold_3
black,48,0.5854901028863171,0.3250024085453569,0.0298124682352257,0.0,0.4965142105977671,0.545019764569588,0.0485055539718208,0.3281231561365227,fold_4
gray,48,0.4616481887127714,0.2486233672728601,0.0366795079316943,0.0,0.488904003771798,0.5209947959248287,0.0320907921530306,0.3281231561365227,fold_4
mean,48,0.5030175976766901,0.2951188136073471,0.0246772842947393,0.0,0.5136098276358098,0.5593192040532206,0.0457093764174108,0.3281231561365227,fold_4
black,48,0.6553419435799965,0.3397565360922929,0.0274535881665845,0.0,0.4787090303725563,0.487982459346919,0.0092734289743627,0.5792082357220352,fold_2
gray,48,0.3218491996632265,0.1975927933219137,0.0406228112988173,0.0,0.4615350718949533,0.4735673197894356,0.0120322478944823,0.5792082357220352,fold_2
mean,48,0.351603132838398,0.2233686253454763,0.0301488583985095,0.0,0.4653024709492455,0.4910516707556477,0.0257491998064021,0.5792082357220352,fold_2
