sample_id,model,target,method,insertion_auc,skipped
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,gradcam,0.6250934054454169,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,gradcam++,0.6182669550180436,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,integrated_gradients,0.6030182490746181,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,gradient_shap,0.5981112793087959,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,occlusion,0.4830707957347234,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,guided_backprop,0.5760724643866221,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,densenet121,0,topk_consensus,0.6159253617127737,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,gradcam,0.43040034671624505,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,gradcam++,0.39360974356532097,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,integrated_gradients,0.32456879814465844,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,gradient_shap,0.34830986802505026,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,occlusion,0.5340857543051242,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,guided_backprop,0.40654515630255145,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,attention_rollout,0.49151472064356005,
7143189_3219733239_13_left_neural_foraminal_narrowing_l3_l4,vit_small,0,topk_consensus,0.46825926626722025,
