model,fold,method,deletion_auc,insertion_auc,source
efficientnet_b4,fold_0,gradcam,0.49091815845966624,0.7295763048549804,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_0,gradcam++,0.5115318830686932,0.7173546575387009,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_0,gradient_shap,0.46966771568258747,0.5397382196461161,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_0,guided_backprop,0.4696474256243091,0.45547195460305856,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_0,integrated_gradients,0.4588543213856173,0.48973807839121825,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_0,occlusion,0.5007583927129357,0.6821356137421292,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/faithfulness_metrics.csv
vit_small,fold_0,attention_rollout,0.5043792124483055,0.7877574614023906,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
vit_small,fold_0,gradcam,0.6016605045590065,0.6724251475229976,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
vit_small,fold_0,gradcam++,0.6101863178014173,0.6771334218800475,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
vit_small,fold_0,gradient_shap,0.4278016853811957,0.7593301626331522,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
vit_small,fold_0,guided_backprop,0.4687111718062273,0.7511786503944508,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
vit_small,fold_0,integrated_gradients,0.42682285012274707,0.7595068747797243,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
vit_small,fold_0,occlusion,0.4924322371895735,0.7929372221715942,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/faithfulness_metrics.csv
efficientnet_b4,fold_1,gradcam,0.5104291358813849,0.7791450435618705,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_1,gradcam++,0.5516594633988183,0.7720810881533446,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_1,gradient_shap,0.5478013177179576,0.6335429232823857,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_1,guided_backprop,0.5601202981061457,0.558082592000108,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_1,integrated_gradients,0.5405019894408373,0.5822523134850198,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_1,occlusion,0.5748462522110591,0.7345055813435465,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/faithfulness_metrics.csv
vit_small,fold_1,attention_rollout,0.534304730966144,0.7641192443632365,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
vit_small,fold_1,gradcam,0.6330615895694549,0.672909856736757,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
vit_small,fold_1,gradcam++,0.6197667667875066,0.6778546359958126,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
vit_small,fold_1,gradient_shap,0.46977107088229,0.7311573292457809,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
vit_small,fold_1,guided_backprop,0.4855441112538489,0.7325766099970011,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
vit_small,fold_1,integrated_gradients,0.4689030305047054,0.7308736796996866,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
vit_small,fold_1,occlusion,0.4729821395482868,0.7655003727522368,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/faithfulness_metrics.csv
efficientnet_b4,fold_2,gradcam,0.3823753326640095,0.684422113487497,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_2,gradcam++,0.42226012702294,0.6774733111408228,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_2,gradient_shap,0.4401772452668131,0.5036392923075085,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_2,guided_backprop,0.4575339126407635,0.46286202861244474,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_2,integrated_gradients,0.44471685199862504,0.48178753474215036,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_2,occlusion,0.4551892128215501,0.6247207593998562,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_3,gradcam,0.39737897408798256,0.7457522936963166,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_3,gradcam++,0.42416552083192316,0.729976641785043,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_3,gradient_shap,0.40497867316342306,0.49743928608096516,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_3,guided_backprop,0.42661952412578585,0.41192179380295174,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_3,integrated_gradients,0.40275065009358024,0.4347159672800917,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_3,occlusion,0.4267042094056184,0.6504248494945156,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_4,gradcam,0.4418464655381006,0.7036046847902859,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_4/efficientnet_b4/faithfulness_metrics.csv
efficientnet_b4,fold_4,gradcam++,0.47521646783722093,0.6857511970509464,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_4/efficientnet_b4/faithfulness_metrics.csv
