model,fold,log_loss,accuracy,balanced_accuracy,macro_f1,top5_accuracy
convnext_blackbox,fold_0,0.5029382608753115,0.9088210347752332,0.9086199494949494,0.9082878980489995,0.9762510602205259
convnext_blackbox,fold_1,0.5119374370350135,0.9096692111959288,0.9103787878787878,0.9085340769363822,0.9732824427480916
convnext_blackbox,fold_2,0.5471050630947891,0.8952502120441052,0.8955075757575759,0.8944501364800072,0.9749787955894826
convnext_blackbox,fold_3,0.5256484953167313,0.9092066185829444,0.9093106060606061,0.907662481433769,0.9783623249893934
convnext_blackbox,fold_4,0.49670838303893633,0.910479422995333,0.9103131313131313,0.9096432545384658,0.976240984302079
deit_small,fold_0,0.714232411899362,0.8736217133163698,0.8735694444444445,0.8726104825307579,0.9648006785411366
deit_small,fold_1,0.7246737945077464,0.8719253604749788,0.8728030303030303,0.8706851370495886,0.9643765903307888
deit_small,fold_2,0.7406472955995171,0.8710771840542832,0.8705694444444444,0.8700023049365387,0.9643765903307888
deit_small,fold_3,0.723587593860508,0.8748408994484514,0.87535101010101,0.8741035656005474,0.9626644039032669
deit_small,fold_4,0.7072372091223933,0.8718710224862113,0.872060606060606,0.8710193611009385,0.9639372083156555
densenet121,fold_0,0.7209028409530202,0.8379983036471587,0.8379078282828283,0.836788535447092,0.9588634435962681
densenet121,fold_1,0.7772070169824813,0.8320610687022901,0.8331893939393938,0.8315960981876631,0.9546225614927905
densenet121,fold_2,0.7748730556227719,0.8244274809160306,0.8246868686868686,0.8246425439939528,0.9541984732824428
densenet121,fold_3,0.7183317874812841,0.8324140857021638,0.8324659090909091,0.8326282434796201,0.9584217225286381
densenet121,fold_4,0.7296001383557279,0.8375053033517182,0.8378787878787878,0.8360498149247728,0.9529062367416207
efficientnet_b4,fold_0,0.7710552379932784,0.8409669211195929,0.8410782828282828,0.8394370377621959,0.9584393553859203
efficientnet_b4,fold_1,0.7811365626941104,0.8469041560644615,0.8474848484848485,0.8452207951630257,0.9601357082273113
efficientnet_b4,fold_2,0.7809404076437886,0.8405428329092451,0.8408156565656566,0.8388181637766035,0.9567430025445293
efficientnet_b4,fold_3,0.75222879111916,0.8472634705133645,0.8477941919191917,0.8452025779285589,0.9609673313534154
efficientnet_b4,fold_4,0.7505076541989691,0.848960543063216,0.8495176767676768,0.8471176266934023,0.9579974543911752
resnet50,fold_0,0.6253707403757403,0.8430873621713316,0.8433484848484849,0.8429978209439051,0.9681933842239185
resnet50,fold_1,0.6345666691775496,0.8570822731128075,0.8576969696969695,0.8569304988289307,0.9656488549618321
resnet50,fold_2,0.684172842408989,0.8333333333333334,0.833455808080808,0.8321704238452858,0.9597116200169635
resnet50,fold_3,0.6492458041093397,0.845566397963513,0.8454204545454544,0.8435070849203632,0.9660585490029698
resnet50,fold_4,0.6566954979334445,0.8421722528638099,0.8429242424242424,0.8420098665431236,0.9613915994908783
vit_small,fold_0,1.3877617860366154,0.6895674300254453,0.6899911616161616,0.6885023642741044,0.8774385072094996
vit_small,fold_1,1.2804936895145487,0.7154368108566582,0.7166363636363635,0.7116303833188913,0.897370653095844
vit_small,fold_2,1.3074985635526746,0.7162849872773537,0.7165959595959596,0.713164636624617,0.8808312128922816
vit_small,fold_3,1.0034834871493659,0.7874416631310989,0.7869292929292929,0.7847938137732342,0.931268561731014
vit_small,fold_4,0.8190047425702227,0.8285956724649979,0.829,0.8270902087712585,0.9410267288926601
