model,fold,mean_spearman,mean_top20_iou,fw_consensus_insertion_auc_mean,uniform_consensus_insertion_auc_mean,topk_consensus_insertion_auc_mean,skipped
convnext_blackbox,fold_0,0.41892273329800245,0.3716184338289997,0.7985149537966935,0.7882103096519129,0.8125482039349542,{}
convnext_blackbox,fold_1,0.4315213105144966,0.3808250883639393,0.7791520443174763,0.7728155689530589,0.7930732586662878,{}
convnext_blackbox,fold_2,0.4331568071962308,0.3788930013794916,0.7952453923245775,0.789452680972754,0.8129662390996236,{}
convnext_blackbox,fold_3,0.4869700131544856,0.39752748969758367,0.8354700382449907,0.8301071757553047,0.8519042142271549,{}
convnext_blackbox,fold_4,0.4351469826981421,0.3853895898905637,0.8187860368992067,0.8165525483529443,0.8325173105381933,{}
deit_small,fold_0,0.21744909989562786,0.25988766496311366,0.6354088638186415,0.620254994554222,0.6602214341599029,{}
deit_small,fold_1,0.21777674335623373,0.2592737249474396,0.5616130033619751,0.5420568728821915,0.6022937915467871,{}
deit_small,fold_2,0.20972500343452424,0.25385529945865604,0.6281802533159013,0.5994118197863767,0.6799945392350977,{}
deit_small,fold_3,0.22709585671993077,0.26335283898914347,0.6845356842369072,0.6746356670967847,0.7190485673667474,{}
deit_small,fold_4,0.22889854335620427,0.2674686605407748,0.5524974541231252,0.5336358468104543,0.6126842041176859,{}
densenet121,fold_0,0.5148219511525882,0.408069800978927,,,,{}
densenet121,fold_1,0.494683989350373,0.3967215828422088,,,,{}
densenet121,fold_2,0.5305232664984288,0.4175325294415137,,,,{}
densenet121,fold_3,0.5387896804090734,0.4190031778071573,,,,{}
densenet121,fold_4,0.5101618620010359,0.4112340755205311,,,,{}
efficientnet_b4,fold_0,0.41236464017166224,0.35059871008419546,,,,{}
efficientnet_b4,fold_1,0.4075256566310797,0.3444716015375153,,,,{}
efficientnet_b4,fold_2,0.4165625566863661,0.3547994508817144,,,,{}
efficientnet_b4,fold_3,0.4165643468995104,0.3503144659709094,,,,{}
efficientnet_b4,fold_4,0.40464345641128063,0.3404428220361253,,,,{}
resnet50,fold_0,0.41778309440801215,0.3824467819964909,,,,{}
resnet50,fold_1,0.41905685694581035,0.3714994151004306,,,,{}
resnet50,fold_2,0.435088444961238,0.38264802983917484,,,,{}
resnet50,fold_3,0.4324450959684316,0.38276042722162507,,,,{}
resnet50,fold_4,0.4454137384132838,0.3884614143262316,,,,{}
vit_small,fold_0,0.27996126698297247,0.299150247273766,,,,{}
vit_small,fold_1,0.29001112968439596,0.30261297771149853,,,,{}
vit_small,fold_2,0.28314533518079255,0.2989579088359026,,,,{}
vit_small,fold_3,0.28010050936616465,0.2977649098515531,,,,{}
vit_small,fold_4,0.28219951392498666,0.28814653144721614,,,,{}
