sample_id,consensus_insertion_auc,consensus_expert_roi,fw_consensus_insertion_auc,fw_consensus_expert_roi,uniform_consensus_insertion_auc,uniform_consensus_expert_roi,topk_consensus_insertion_auc,topk_consensus_expert_roi,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
4003253_702807833_8_spinal_canal_stenosis_l1_l2,0.9909630045294762,0.26257553696632385,0.9909630045294762,0.26257553696632385,0.9904298290610313,0.26188236474990845,0.9928962007164956,0.2594708800315857,occlusion attention_rollout gradcam++,0.13071495483568663,0.14794674332909954,0.13906429752171204,0.1406085400229065,0.15117070226146212,0.13933029488848,0.15116446714065315
4003253_1054713880_11_left_neural_foraminal_narrowing_l1_l2,0.994937065243721,0.24992230534553528,0.994937065243721,0.24992230534553528,0.994906371831894,0.24431554973125458,0.9960037082433699,0.26446086168289185,attention_rollout occlusion gradcam,0.14415293552089226,0.13699872346135208,0.14272791016679798,0.1428959675956323,0.1449900103637703,0.14317510914381895,0.14505934374773624
4003253_2448190387_19_right_subarticular_stenosis_l3_l4,0.6484865076839924,0.28199201822280884,0.6484865076839924,0.28199201822280884,0.640939287096262,0.28097134828567505,0.7001845143735409,0.28260523080825806,attention_rollout occlusion gradient_shap,0.14373416211875464,0.11417700376135252,0.14655602952881724,0.14724649865197673,0.15193144821894727,0.13988848704213686,0.15646637067801467
4646740_3201256954_29_left_subarticular_stenosis_l3_l4,0.7813911855220795,0.262971967458725,0.7813911855220795,0.262971967458725,0.7800832718610764,0.2605970501899719,0.7644622921943665,0.27690476179122925,occlusion attention_rollout gradient_shap,0.11843562504706794,0.1383073114924203,0.1477073770828589,0.14772491094036228,0.1511370581480986,0.14697402838681925,0.1497136889023728
4646740_3486248476_15_right_neural_foraminal_narrowing_l2_l3,0.5102800413966179,0.24788644909858704,0.5102800413966179,0.24788644909858704,0.5058616921305656,0.2378058135509491,0.5776418261229991,0.20652417838573456,occlusion integrated_gradients gradient_shap,0.12357203660328989,0.13514944519241764,0.14853027875656546,0.1481004380267637,0.15221291823397112,0.14556337325878943,0.14687150992820278
7143189_132939515_9_spinal_canal_stenosis_l1_l2,0.9860757753252983,0.28086936473846436,0.9860757753252983,0.28086936473846436,0.9858859017491342,0.28086936473846436,0.9866460517048835,0.28260523080825806,occlusion guided_backprop attention_rollout,0.13494248349293292,0.13315352098619418,0.14598650225918472,0.14620290934609706,0.146899137416885,0.14641076402627087,0.14640468247243513
7143189_1951927562_11_right_subarticular_stenosis_l3_l4,0.8071812750771642,0.2642621397972107,0.8071812750771642,0.2642621397972107,0.8048628622666001,0.2583294212818146,0.8824202693998813,0.26854845881462097,attention_rollout occlusion gradcam,0.14063157884174882,0.13072405556621197,0.13479468084331397,0.13579206047528497,0.15362248259091946,0.1299209635558584,0.17451417812666234
7143189_3219733239_12_left_neural_foraminal_narrowing_l1_l2,0.8582947030663491,0.28097134828567505,0.8582947030663491,0.28097134828567505,0.8528789654374123,0.28097134828567505,0.9012622863054274,0.24699681997299194,attention_rollout gradcam occlusion,0.14700810343013662,0.14042328469250154,0.14161745051075336,0.13971292082139491,0.14596447479410457,0.1370123547174791,0.1482614110336299
10728036_2073726394_11_right_subarticular_stenosis_l1_l2,0.9283150434494017,0.26446086168289185,0.9283150434494017,0.26446086168289185,0.9296433895826341,0.2605970501899719,0.9562462002038955,0.2811753451824188,attention_rollout occlusion gradient_shap,0.1266295509171872,0.13942969730259347,0.1440665437695632,0.14528061622983734,0.1509027270368924,0.14164815151990096,0.1520427132240254
10728036_2399638375_14_left_neural_foraminal_narrowing_l1_l2,0.9670876622200013,0.21914070844650269,0.9670876622200013,0.21914070844650269,0.9679060399532319,0.21738801896572113,0.9790208011865617,0.2785283029079437,occlusion attention_rollout integrated_gradients,0.13869679610732427,0.13970337243059958,0.14406137100139416,0.14394219876996106,0.14593979414809957,0.14302639906824915,0.14463006847437224
13317052_1539051863_4_right_neural_foraminal_narrowing_l5_s1,0.6202363103628158,0.22498857975006104,0.6202363103628158,0.22498857975006104,0.6177799642086028,0.19674204289913177,0.6475868076086043,0.28260523080825806,attention_rollout guided_backprop occlusion,0.12185592358518377,0.13680018953765669,0.1479426236663755,0.1480511649347512,0.1480616620937436,0.14830642135004607,0.14898201483224321
13317052_2500166693_3_left_subarticular_stenosis_l1_l2,0.9798822805285455,0.27660080790519714,0.9798822805285455,0.27660080790519714,0.9796347394585609,0.27649950981140137,0.9876630440354347,0.2738717198371887,attention_rollout gradcam++ occlusion,0.14174199341498095,0.15147413299735574,0.13817854486727515,0.13693293891719024,0.14964375495472945,0.130051492221122,0.1519771426273465
13317052_2677627096_8_spinal_canal_stenosis_l5_s1,0.9781385891139507,0.2587231993675232,0.9781385891139507,0.2587231993675232,0.9777372412383556,0.25724780559539795,0.979907899349928,0.2794433534145355,attention_rollout occlusion gradient_shap,0.14087234649130959,0.13539940128233197,0.14370765120267281,0.1451773909118246,0.14729123290355553,0.1399614789837618,0.1475904982245436
29931867_1152175603_8_right_neural_foraminal_narrowing_l1_l2,0.9640051901340484,0.21179483830928802,0.9640051901340484,0.21179483830928802,0.9683289796113967,0.2096083015203476,0.9859981536865235,0.2728639245033264,attention_rollout occlusion gradcam,0.14394160965303263,0.13980186426902363,0.14329846370974217,0.1430906977163451,0.14431437743620035,0.1396789143908695,0.14587407282478654
29931867_1676821058_11_spinal_canal_stenosis_l5_s1,0.8887942232191562,0.28260523080825806,0.8887942232191562,0.28260523080825806,0.8841347105801105,0.28260523080825806,0.9229487963020802,0.28260523080825806,occlusion attention_rollout gradient_shap,0.11593188525051201,0.12041008551145146,0.143173691689471,0.14378313821754088,0.1692324393868613,0.13857629615133576,0.16889246379282769
58813022_302608236_15_left_subarticular_stenosis_l5_s1,0.6483990654349328,0.2720588147640228,0.6483990654349328,0.2720588147640228,0.6488754704594611,0.26974982023239136,0.6412254974246026,0.28260523080825806,integrated_gradients gradient_shap attention_rollout,0.13745564483621733,0.13723246448854157,0.14687005084835983,0.14657762763547805,0.14348777814401564,0.14305913400386844,0.14531730004351914
58813022_692718517_6_left_neural_foraminal_narrowing_l2_l3,0.40570983439683916,0.2751842737197876,0.40570983439683916,0.2751842737197876,0.40678272843360896,0.276398241519928,0.4654156938195228,0.21362298727035522,occlusion gradcam++ gradient_shap,0.14096020930397654,0.1482105592337655,0.14661123210641744,0.14799165833363703,0.150533733538029,0.13284100860584874,0.13285159887832573
58813022_3875372861_9_spinal_canal_stenosis_l1_l2,0.959662565588951,0.28260523080825806,0.959662565588951,0.28260523080825806,0.9603951811790464,0.28260523080825806,0.9577132672071458,0.28260523080825806,attention_rollout guided_backprop occlusion,0.1237452975223351,0.14646776974314502,0.1431721995967246,0.14415175673545172,0.14661622620942572,0.14778574477482012,0.1480610054180978
60612428_661972121_10_left_neural_foraminal_narrowing_l1_l2,0.9611686185002327,0.2755886912345886,0.9611686185002327,0.2755886912345886,0.9614491447806358,0.2754875421524048,0.9571454778313637,0.2803597152233124,attention_rollout gradcam guided_backprop,0.1467390400022141,0.14015811563816483,0.13930876317922783,0.14114689045936146,0.1393456220840765,0.14469830989269009,0.14860325874426522
60612428_3446457669_3_left_subarticular_stenosis_l1_l2,0.9893260538578033,0.2706523537635803,0.9893260538578033,0.2706523537635803,0.9895085304975508,0.2704516649246216,0.9927869737148286,0.1101987287402153,occlusion gradcam gradcam++,0.14716775674386443,0.14693257290531234,0.1400448062959036,0.13967717907274066,0.14718737373341145,0.13238984074903956,0.146600470499728
