sample_id,method,randomization_level,ssim
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,1,0.051961402285916086
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,2,0.37170727283608473
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,3,0.4472488429788452
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,4,0.30373310682417015
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,5,0.8233800003896553
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,1,0.6442961585522197
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,2,0.15167895252699673
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,3,0.13887010913074185
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,4,0.1009797809476378
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,5,0.01771599470686366
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,1,0.6207631755773102
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,2,0.11992427807305084
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,3,0.13682116159252625
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,4,0.07835365059053523
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,5,0.018208988032426012
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,1,0.7173403766279882
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,2,0.08783463412336318
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,3,0.11898045437363373
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,4,0.07023681209553125
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,5,0.06601762844623041
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,1,0.24313879467958885
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,2,0.1864570001764357
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,3,0.3607475502722583
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,4,0.23805868598153215
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,5,0.43963761231794957
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,1,0.7570834014050853
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,2,0.2950014844776366
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,3,0.21147211490044776
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,4,0.11960222041399973
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,5,0.02785276408929645
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,1,0.5300096515498648
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,2,0.36321306674436066
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,3,0.22276988132326106
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,4,0.09093266491094305
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,5,0.031111613630121035
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,1,0.3884009051629281
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,2,0.11805426304183163
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,3,0.120834549107465
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,4,0.04683751894817087
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,5,0.07319635366706043
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,1,0.3142278494433221
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,2,0.2569515402364285
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,3,0.08155163973973109
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,4,0.3097276211561781
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,5,0.15920891714310853
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,1,0.7462451724734698
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,2,0.2699415015846866
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,3,0.21458275268661745
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,4,0.1276427502623252
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,5,0.024393609955719188
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,1,0.9124656789250626
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,2,0.21174965260847445
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,3,0.21466366812107757
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,4,0.10110158315231661
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,5,0.022708469020955534
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,1,0.5552273530816746
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,2,0.09345893012890095
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,3,0.08237054531104364
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,4,0.03654214519423223
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,5,0.05179968127330673
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,1,0.3131488589268925
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,2,0.02828309904084808
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,3,0.5526285128764037
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,4,0.0671446636579436
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,5,0.7703872175238315
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,1,0.7430347326189702
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,2,0.11806772799461591
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,3,0.13902989814755945
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,4,0.05331498986294499
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,5,0.014385096085925003
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,1,0.940354864545497
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,2,0.1287156233045139
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,3,0.20603906880509212
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,4,0.09135303617426777
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,5,0.006655091521969933
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,1,0.5720957646515435
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,2,0.10669579495550546
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,3,0.08936633626676849
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,4,0.06093060741056323
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,5,0.045418733030319354
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,1,0.4892644612228908
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,2,0.5777030006413925
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,3,0.26468951881579794
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,4,0.15156973748401625
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,5,0.42637164241970327
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,1,0.706540443526624
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,2,0.3087835536397493
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,3,0.21507811907357524
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,4,0.13028907469089593
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,5,0.03207071249037412
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradient_shap,1,0.535001606573798
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradient_shap,2,0.297577751533376
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradient_shap,3,0.19143285159877824
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradient_shap,4,0.08384364769459321
