method,randomization_level,mean,std
gradcam,1,0.25083007212098907,0.23160058525264446
gradcam,2,0.23194295415038724,0.18335032578789837
gradcam,3,0.28611464708465967,0.2403111792851611
gradcam,4,0.2617194435403258,0.21650627977726206
gradcam,5,0.2718787766808649,0.21061503240270388
gradient_shap,1,0.6556551469719348,0.1007828699819974
gradient_shap,2,0.5942667035381852,0.09183460874538127
gradient_shap,3,0.6266636078280864,0.08721002602774544
gradient_shap,4,0.5314585345403884,0.10447254241984373
gradient_shap,5,0.46322726990964086,0.11861662156782726
integrated_gradients,1,0.6730544931030125,0.10335277004599801
integrated_gradients,2,0.5884055888229324,0.11242714032744638
integrated_gradients,3,0.6064346974590493,0.11304374046854065
integrated_gradients,4,0.5469097744812743,0.09845298422275621
integrated_gradients,5,0.44751773691178465,0.12600011451742774
occlusion,1,0.49674908950088975,0.1060560989353908
occlusion,2,0.1345804162264202,0.04790243618065034
occlusion,3,0.09178151378611708,0.035165454123854
occlusion,4,0.10216541519552749,0.036474752255839835
occlusion,5,0.13830965381226823,0.05006275743096858
