method,randomization_level,mean,std
gradcam,1,0.2742109181778649,0.2225418176603835
gradcam,2,0.2534515989130905,0.1819283788514743
gradcam,3,0.23567333963464898,0.18619282873465387
gradcam,4,0.2914136446750009,0.1996156392025971
gradcam,5,0.29955934067524703,0.22524873528411823
gradient_shap,1,0.7924625742941249,0.07946801503723573
gradient_shap,2,0.6452677519240175,0.09664578099400789
gradient_shap,3,0.6306776762697848,0.07795310531172996
gradient_shap,4,0.5198158440998734,0.10760123147231306
gradient_shap,5,0.543119618297234,0.10634941949249363
integrated_gradients,1,0.7880562968827863,0.0831847193132842
integrated_gradients,2,0.6633560631228785,0.08114480304462349
integrated_gradients,3,0.6616787853796802,0.07827465304045425
integrated_gradients,4,0.5552795063482947,0.1333460968264057
integrated_gradients,5,0.5398729804637441,0.10876283024901177
occlusion,1,0.6042346913358901,0.1381643918497774
occlusion,2,0.11701871772462324,0.055060726413114325
occlusion,3,0.07878092343329772,0.0378329699124422
occlusion,4,0.07769521901106341,0.03561617467111318
occlusion,5,0.11049778461018553,0.050265087078905354
